x,U_ML_full_LU,U_exact
5.11346,1.79742e-22,1.6876e-22
5.14512,1.30961e-22,1.2296e-22
5.17678,9.5419e-23,8.95891e-23
5.20844,6.95228e-23,6.52751e-23
5.24011,5.06547e-23,4.75598e-23
5.27177,3.69073e-23,3.46523e-23
5.30343,2.68909e-23,2.52479e-23
5.33509,1.95928e-23,1.83958e-23
5.36675,1.42755e-23,1.34032e-23
5.39842,1.04012e-23,9.76568e-24
5.43008,7.57835e-24,7.11533e-24
5.46174,5.52163e-24,5.18427e-24
5.4934,4.02308e-24,3.77729e-24
5.52507,2.93122e-24,2.75215e-24
5.55673,2.13568e-24,2.00523e-24
5.58839,1.55603e-24,1.46102e-24
5.62005,1.13365e-24,1.06451e-24
5.65172,8.25857e-25,7.75609e-25
5.68338,6.01509e-25,5.65113e-25
5.71504,4.37909e-25,4.11744e-25
5.7467,3.18494e-25,2.99999e-25
5.77836,2.31162e-25,2.18581e-25
5.81003,1.67047e-25,1.59259e-25
5.84169,1.19632e-25,1.16037e-25
5.87335,8.40956e-26,8.45455e-26
5.90501,5.6833e-26,6.16003e-26
5.93668,3.51019e-26,4.48823e-26
5.96834,1.67509e-26,3.27015e-26
6,0,2.38265e-26
