x,U_ML_full_LU,U_exact
-6,0,1.99379e-41
-5.96834,9.21776e-32,5.15719e-41
-5.93668,2.16769e-31,1.32733e-40
-5.90501,4.17387e-31,3.3992e-40
-5.87335,7.63843e-31,8.66177e-40
-5.84169,1.376e-30,2.19618e-39
-5.81003,2.46451e-30,5.54068e-39
-5.77836,4.40194e-30,1.39088e-38
-5.7467,7.84795e-30,3.47415e-38
-5.71504,1.39697e-29,8.63455e-38
-5.68338,2.48294e-29,2.13532e-37
-5.65172,4.40662e-29,5.25436e-37
-5.62005,7.80911e-29,1.2865e-36
-5.58839,1.38182e-28,3.13422e-36
-5.55673,2.44147e-28,7.59774e-36
-5.52507,4.3072e-28,1.83261e-35
-5.4934,7.58717e-28,4.39836e-35
-5.46174,1.33444e-27,1.05037e-34
-5.43008,2.34342e-27,2.49591e-34
-5.39842,4.10891e-27,5.90129e-34
-5.36675,7.19323e-27,1.38835e-33
-5.33509,1.25729e-26,3.25e-33
-5.30343,2.19412e-26,7.57009e-33
-5.27177,3.82287e-26,1.7545e-32
-5.24011,6.64998e-26,4.0461e-32
-5.20844,1.1549e-25,9.28441e-32
-5.17678,2.00245e-25,2.11985e-31
-5.14512,3.46626e-25,4.81605e-31
-5.11346,5.9902e-25,1.0887e-30
-5.08179,1.03346e-24,2.44884e-30
-5.05013,1.77999e-24,5.48084e-30
-5.01847,3.06058e-24,1.22058e-29
-4.98681,5.25347e-24,2.70471e-29
-4.95515,9.00206e-24,5.96359e-29
-4.92348,1.53987e-23,1.30837e-28
-4.89182,2.62945e-23,2.85618e-28
-4.86016,4.48211e-23,6.20405e-28
-4.8285,7.62655e-23,1.34091e-27
-4.79683,1.29538e-22,2.88375e-27
-4.76517,2.19625e-22,6.17093e-27
-4.73351,3.71689e-22,1.31395e-26
-4.70185,6.27886e-22,2.78382e-26
-4.67018,1.05872e-21,5.86864e-26
-4.63852,1.78186e-21,1.23103e-25
-4.60686,2.99332e-21,2.56943e-25
-4.5752,5.01895e-21,5.33627e-25
-4.54354,8.39934e-21,1.10274e-24
-4.51187,1.40296e-20,2.2675e-24
-4.48021,2.33886e-20,4.63931e-24
-4.44855,3.89151e-20,9.44487e-24
-4.41689,6.46219e-20,1.91326e-23
-4.38522,1.07098e-19,3.85645e-23
-4.35356,1.7714e-19,7.73458e-23
-4.3219,2.92401e-19,1.54355e-22
-4.29024,4.81682e-19,3.06508e-22
-4.25858,7.91871e-19,6.05619e-22
-4.22691,1.29914e-18,1.19067e-21
-4.19525,2.12693e-18,2.32928e-21
-4.16359,3.47491e-18,4.53405e-21
-4.13193,5.66523e-18,8.78188e-21
-4.10026,9.21655e-18,1.69249e-20
-4.0686,1.49619e-17,3.24564e-20
-4.03694,2.42365e-17,6.19315e-20
-4.00528,3.91746e-17,1.17587e-19
-3.97361,6.3181e-17,2.22149e-19
-3.94195,1.01673e-16,4.17607e-19
-3.91029,1.63252e-16,7.81137e-19
-3.87863,2.61536e-16,1.45386e-18
-3.84697,4.18042e-16,2.69251e-18
-3.8153,6.66677e-16,4.96169e-18
-3.78364,1.06074e-15,9.09786e-18
-3.75198,1.68381e-15,1.65992e-17
-3.72032,2.66661e-15,3.01351e-17
-3.68865,4.21309e-15,5.44372e-17
-3.65699,6.64057e-15,9.78492e-17
-3.62533,1.04416e-14,1.75008e-16
-3.59367,1.63786e-14,3.11456e-16
-3.56201,2.56287e-14,5.51535e-16
-3.53034,4.00042e-14,9.71828e-16
-3.49868,6.22883e-14,1.7039e-15
-3.46702,9.67431e-14,2.97262e-15
-3.43536,1.49878e-13,5.16027e-15
-3.40369,2.31605e-13,8.91344e-15
-3.37203,3.56981e-13,1.532e-14
-3.34037,5.48804e-13,2.62005e-14
-3.30871,8.41503e-13,4.45864e-14
-3.27704,1.28692e-12,7.54979e-14
-3.24538,1.96288e-12,1.27206e-13
-3.21372,2.9859e-12,2.13265e-13
-3.18206,4.52985e-12,3.55774e-13
-3.1504,6.85347e-12,5.90566e-13
-3.11873,1.03406e-11,9.75447e-13
-3.08707,1.55589e-11,1.60317e-12
-3.05541,2.33453e-11,2.62179e-12
-3.02375,3.49301e-11,4.26636e-12
-2.99208,5.21154e-11,6.90811e-12
-2.96042,7.75337e-11,1.11302e-11
-2.92876,1.15017e-10,1.78438e-11
-2.8971,1.70126e-10,2.84653e-11
-2.86544,2.50901e-10,4.51841e-11
-2.83377,3.68937e-10,7.13672e-11
-2.80211,5.40885e-10,1.12164e-10
-2.77045,7.9059e-10,1.7541e-10
-2.73879,1.15207e-09,2.72958e-10
-2.70712,1.67371e-09,4.22652e-10
-2.67546,2.42406e-09,6.51198e-10
-2.6438,3.49988e-09,9.98361e-10
-2.61214,5.03735e-09,1.52302e-09
-2.58047,7.22734e-09,2.31191e-09
-2.54881,1.03364e-08,3.49204e-09
-2.51715,1.47355e-08,5.24846e-09
-2.48549,2.09389e-08,7.84931e-09
-2.45383,2.96566e-08,1.16809e-08
-2.42216,4.18658e-08,1.72968e-08
-2.3905,5.89054e-08,2.54861e-08
-2.35884,8.26032e-08,3.73669e-08
-2.32718,1.15444e-07,5.45152e-08
-2.29551,1.60794e-07,7.91399e-08
-2.26385,2.23191e-07,1.14319e-07
-2.23219,3.08733e-07,1.64321e-07
-2.20053,4.25573e-07,2.35025e-07
-2.16887,5.84574e-07,3.3449e-07
-2.1372,8.00141e-07,4.73697e-07
-2.10554,1.0913e-06,6.67526e-07
-2.07388,1.48306e-06,9.36018e-07
-2.04222,2.00815e-06,1.30602e-06
-2.01055,2.70925e-06,1.81329e-06
-1.97889,3.64168e-06,2.50515e-06
-1.94723,4.87688e-06,3.4439e-06
-1.91557,6.50667e-06,4.71107e-06
-1.88391,8.64847e-06,6.41269e-06
-1.85224,1.14517e-05,8.68586e-06
-1.82058,1.51057e-05,1.17068e-05
-1.78892,1.98489e-05,1.57006e-05
-1.75726,2.59805e-05,2.0953e-05
-1.72559,3.38734e-05,2.78248e-05
-1.69393,4.39907e-05,3.67681e-05
-1.66227,5.69035e-05,4.83465e-05
-1.63061,7.33133e-05,6.32577e-05
-1.59894,9.40759e-05,8.23604e-05
-1.56728,0.000120231,0.000106704
-1.53562,0.000153031,0.000137561
-1.50396,0.000193982,0.00017647
-1.4723,0.000244876,0.000225269
-1.44063,0.000307839,0.000286149
-1.40897,0.000385373,0.000361694
-1.37731,0.000480406,0.000454935
-1.34565,0.000596337,0.000569399
-1.31398,0.000737092,0.000709162
-1.28232,0.000907162,0.000878891
-1.25066,0.00111166,0.00108389
-1.219,0.00135634,0.00133015
-1.18734,0.00164766,0.00162434
-1.15567,0.00199276,0.00197387
-1.12401,0.00239951,0.00238683
-1.09235,0.00287646,0.00287205
-1.06069,0.00343282,0.00343897
-1.02902,0.00407843,0.00409761
-0.997361,0.00482361,0.00485848
-0.965699,0.00567909,0.00573243
-0.934037,0.00665586,0.00673048
-0.902375,0.00776495,0.00786363
-0.870712,0.00901722,0.00914262
-0.83905,0.0104231,0.0105777
-0.807388,0.0119924,0.0121782
-0.775726,0.0137337,0.0139523
-0.744063,0.0156544,0.0159069
-0.712401,0.0177599,0.0180469
-0.680739,0.0200538,0.0203748
-0.649077,0.022537,0.0228909
-0.617414,0.0252077,0.0255924
-0.585752,0.0280608,0.0284733
-0.55409,0.0310877,0.0315243
-0.522427,0.0342765,0.0347325
-0.490765,0.0376111,0.0380811
-0.459103,0.0410717,0.0415497
-0.427441,0.0446345,0.0451141
-0.395778,0.0482722,0.0487465
-0.364116,0.0519537,0.0524159
-0.332454,0.0556449,0.0560884
-0.300792,0.0593091,0.0597276
-0.269129,0.0629072,0.063295
-0.237467,0.0663988,0.0667511
-0.205805,0.0697426,0.0700557
-0.174142,0.0728977,0.073169
-0.14248,0.0758237,0.0760519
-0.110818,0.0784822,0.0786674
-0.0791557,0.0808373,0.0809809
-0.0474934,0.0828565,0.0829614
-0.0158311,0.0845115,0.0845817
0.0158311,0.085779,0.0858196
0.0474934,0.0866409,0.0866579
0.0791557,0.087085,0.087085
0.110818,0.0871053,0.0870953
0.14248,0.086702,0.0866892
0.174142,0.0858816,0.0858728
0.205805,0.0846567,0.0846584
0.237467,0.0830455,0.0830636
0.269129,0.0810716,0.0811111
0.300792,0.0787635,0.0788283
0.332454,0.0761534,0.0762462
0.364116,0.073277,0.0733995
0.395778,0.0701723,0.0703248
0.427441,0.0668792,0.0670609
0.459103,0.063438,0.0636469
0.490765,0.0598893,0.0601226
0.522427,0.0562727,0.0565267
0.55409,0.0526264,0.0528968
0.585752,0.0489864,0.0492684
0.617414,0.0453861,0.0456747
0.649077,0.0418556,0.0421458
0.680739,0.038422,0.0387089
0.712401,0.0351083,0.0353875
0.744063,0.0319342,0.0322015
0.775726,0.0289153,0.0291671
0.807388,0.0260638,0.0262972
0.83905,0.0233883,0.023601
0.870712,0.020894,0.0210843
0.902375,0.0185831,0.0187502
0.934037,0.0164552,0.0165987
0.965699,0.0145074,0.0146276
0.997361,0.0127348,0.0128324
1.02902,0.0111307,0.011207
1.06069,0.00968711,0.00974363
1.09235,0.0083951,0.00843362
1.12401,0.00724488,0.00726737
1.15567,0.00622623,0.00623475
1.18734,0.00532874,0.00532537
1.219,0.00454197,0.00452875
1.25066,0.00385569,0.00383456
1.28232,0.00325997,0.00323276
1.31398,0.00274535,0.00271371
1.34565,0.00230287,0.00226828
1.37731,0.0019242,0.00188793
1.40897,0.0016016,0.00156475
1.44063,0.00132802,0.00129148
1.4723,0.00109702,0.00106153
1.50396,0.000902835,0.000868938
1.53562,0.000740293,0.000708397
1.56728,0.000604812,0.000575191
1.59894,0.000492356,0.000465172
1.63061,0.000399393,0.000374713
1.66227,0.000322853,0.000300669
1.69393,0.000260084,0.000240327
1.72559,0.000208809,0.000191365
1.75726,0.000167083,0.000151808
1.78892,0.000133256,0.000119982
1.82058,0.000105934,9.44837e-05
1.85224,8.39461e-05,7.4138e-05
1.88391,6.6314e-05,5.7969e-05
1.91557,5.22244e-05,4.517e-05
1.94723,4.10043e-05,3.50779e-05
1.97889,3.20995e-05,2.71504e-05
2.01055,2.50556e-05,2.09464e-05
2.04222,1.95017e-05,1.6109e-05
2.07388,1.51367e-05,1.23505e-05
2.10554,1.17166e-05,9.44058e-06
2.1372,9.04509e-06,7.19521e-06
2.16887,6.96452e-06,5.46838e-06
2.20053,5.34889e-06,4.1446e-06
2.23219,4.09786e-06,3.13297e-06
2.26385,3.13184e-06,2.36223e-06
2.29551,2.38791e-06,1.77673e-06
2.32718,1.81652e-06,1.3332e-06
2.35884,1.37879e-06,9.98143e-07
2.3905,1.04428e-06,7.45683e-07
2.42216,7.89269e-07,5.55937e-07
2.45383,5.95323e-07,4.13669e-07
2.48549,4.48156e-07,3.07242e-07
2.51715,3.36732e-07,2.27801e-07
2.54881,2.52549e-07,1.68625e-07
2.58047,1.89079e-07,1.2463e-07
2.61214,1.41321e-07,9.1983e-08
2.6438,1.05455e-07,6.77977e-08
2.67546,7.85686e-08,4.99103e-08
2.70712,5.84501e-08,3.67006e-08
2.73879,4.34214e-08,2.6959e-08
2.77045,3.22131e-08,1.97844e-08
2.80211,2.38672e-08,1.45065e-08
2.83377,1.76618e-08,1.06283e-08
2.86544,1.30546e-08,7.7814e-09
2.8971,9.63862e-09,5.69344e-09
2.92876,7.10908e-09,4.16336e-09
2.96042,5.23824e-09,3.04295e-09
2.99208,3.85617e-09,2.22306e-09
3.02375,2.83629e-09,1.62344e-09
3.05541,2.08446e-09,1.18514e-09
3.08707,1.53076e-09,8.6492e-10
3.11873,1.12334e-09,6.31055e-10
3.1504,8.23822e-10,4.60321e-10
3.18206,6.03794e-10,3.35716e-10
3.21372,4.42282e-10,2.44799e-10
3.24538,3.23805e-10,1.7848e-10
3.27704,2.36951e-10,1.30112e-10
3.30871,1.73318e-10,9.48418e-11
3.34037,1.26722e-10,6.91271e-11
3.37203,9.26191e-11,5.0381e-11
3.40369,6.7671e-11,3.67165e-11
3.43536,4.94279e-11,2.67568e-11
3.46702,3.60928e-11,1.94981e-11
3.49868,2.63488e-11,1.42081e-11
3.53034,1.9231e-11,1.03531e-11
3.56201,1.40332e-11,7.54386e-12
3.59367,1.02383e-11,5.49681e-12
3.62533,7.46848e-12,4.00519e-12
3.65699,5.44718e-12,2.9183e-12
3.68865,3.97242e-12,2.12635e-12
3.72032,2.89659e-12,1.5493e-12
3.75198,2.11192e-12,1.12885e-12
3.78364,1.53966e-12,8.22494e-13
3.8153,1.12238e-12,5.99279e-13
3.84697,8.18137e-13,4.36641e-13
3.87863,5.96326e-13,3.1814e-13
3.91029,4.34629e-13,2.318e-13
3.94195,3.16763e-13,1.68891e-13
3.97361,2.30851e-13,1.23055e-13
4.00528,1.68234e-13,8.96589e-14
4.03694,1.22598e-13,6.5326e-14
4.0686,8.93386e-14,4.75969e-14
4.10026,6.51008e-14,3.46794e-14
4.13193,4.74379e-14,2.52676e-14
4.16359,3.45667e-14,1.84101e-14
4.19525,2.51874e-14,1.34137e-14
4.22691,1.83529e-14,9.77333e-15
4.25858,1.33727e-14,7.1209e-15
4.29024,9.74388e-15,5.18833e-15
4.3219,7.09971e-15,3.78025e-15
4.35356,5.17305e-15,2.75431e-15
4.38522,3.76922e-15,2.0068e-15
4.41689,2.74633e-15,1.46217e-15
4.44855,2.00103e-15,1.06534e-15
4.48021,1.45798e-15,7.76216e-16
4.51187,1.06231e-15,5.65555e-16
4.54354,7.74011e-16,4.12067e-16
4.5752,5.63954e-16,3.00234e-16
4.60686,4.10903e-16,2.18752e-16
4.63852,2.99388e-16,1.59384e-16
4.67018,2.18137e-16,1.16128e-16
4.70185,1.58936e-16,8.46117e-17
4.73351,1.15802e-16,6.16485e-17
4.76517,8.43743e-17,4.49175e-17
4.79683,6.14757e-17,3.27271e-17
4.8285,4.47916e-17,2.38452e-17
4.86016,3.26355e-17,1.73737e-17
4.89182,2.37784e-17,1.26586e-17
4.92348,1.73251e-17,9.22312e-18
4.95515,1.26232e-17,6.72002e-18
4.98681,9.19732e-18,4.89624e-18
5.01847,6.70122e-18,3.56743e-18
5.05013,4.88255e-18,2.59925e-18
5.08179,3.55745e-18,1.89383e-18
5.11346,2.59198e-18,1.37985e-18
5.14512,1.88853e-18,1.00537e-18
5.17678,1.376e-18,7.32517e-19
5.20844,1.00256e-18,5.33716e-19
5.24011,7.30469e-19,3.88869e-19
5.27177,5.32224e-19,2.83332e-19
5.30343,3.87781e-19,2.06437e-19
5.33509,2.82539e-19,1.50411e-19
5.36675,2.05859e-19,1.09591e-19
5.39842,1.4999e-19,7.98483e-20
5.43008,1.09283e-19,5.81779e-20
5.46174,7.96234e-20,4.23887e-20
5.4934,5.8013e-20,3.08847e-20
5.52507,4.22671e-20,2.25027e-20
5.55673,3.0794e-20,1.63956e-20
5.58839,2.24339e-20,1.19459e-20
5.62005,1.63416e-20,8.70388e-21
5.65172,1.19013e-20,6.3417e-21
5.68338,8.66412e-21,4.6206e-21
5.71504,6.3028e-21,3.36659e-21
5.7467,4.57862e-21,2.45292e-21
5.77836,3.31729e-21,1.78721e-21
5.81003,2.39131e-21,1.30217e-21
5.84169,1.70707e-21,9.48769e-22
5.87335,1.1954e-21,6.91279e-22
5.90501,8.04571e-22,5.0367e-22
5.93668,4.95076e-22,3.66976e-22
5.96834,2.35628e-22,2.67381e-22
6,0,1.94815e-22
