x,U_ML_full_LU,U_exact
-6,0,0
-5.96834,0,0
-5.93668,0,0
-5.90501,0,0
-5.87335,0,0
-5.84169,0,0
-5.81003,0,0
-5.77836,0,0
-5.7467,0,0
-5.71504,0,0
-5.68338,0,0
-5.65172,0,0
-5.62005,0,0
-5.58839,0,0
-5.55673,0,0
-5.52507,0,0
-5.4934,0,0
-5.46174,0,0
-5.43008,0,0
-5.39842,0,0
-5.36675,0,0
-5.33509,0,0
-5.30343,0,0
-5.27177,0,0
-5.24011,0,0
-5.20844,0,0
-5.17678,0,0
-5.14512,0,0
-5.11346,0,0
-5.08179,0,0
-5.05013,0,0
-5.01847,0,0
-4.98681,0,0
-4.95515,0,0
-4.92348,0,0
-4.89182,0,0
-4.86016,0,0
-4.8285,0,0
-4.79683,0,0
-4.76517,0,0
-4.73351,0,0
-4.70185,0,0
-4.67018,0,0
-4.63852,0,0
-4.60686,0,0
-4.5752,0,0
-4.54354,0,0
-4.51187,0,0
-4.48021,0,0
-4.44855,0,0
-4.41689,0,0
-4.38522,0,0
-4.35356,0,0
-4.3219,0,0
-4.29024,0,0
-4.25858,0,0
-4.22691,0,0
-4.19525,0,0
-4.16359,0,0
-4.13193,0,0
-4.10026,0,0
-4.0686,0,0
-4.03694,0,0
-4.00528,0,0
-3.97361,0,0
-3.94195,0,0
-3.91029,0,0
-3.87863,0,0
-3.84697,0,0
-3.8153,0,0
-3.78364,0,0
-3.75198,0,0
-3.72032,0,0
-3.68865,0,0
-3.65699,0,0
-3.62533,0,0
-3.59367,0,0
-3.56201,0,0
-3.53034,0,0
-3.49868,0,0
-3.46702,0,0
-3.43536,0,0
-3.40369,0,0
-3.37203,0,0
-3.34037,0,0
-3.30871,0,0
-3.27704,0,0
-3.24538,0,0
-3.21372,0,0
-3.18206,0,0
-3.1504,0,0
-3.11873,0,0
-3.08707,0,0
-3.05541,0,0
-3.02375,0,0
-2.99208,0,0
-2.96042,0,0
-2.92876,0,0
-2.8971,0,0
-2.86544,0,0
-2.83377,0,0
-2.80211,0,0
-2.77045,0,0
-2.73879,0,0
-2.70712,0,0
-2.67546,0,0
-2.6438,0,0
-2.61214,0,0
-2.58047,0,0
-2.54881,0,0
-2.51715,0,0
-2.48549,0,0
-2.45383,0,0
-2.42216,0,0
-2.3905,0,0
-2.35884,0,0
