x,U_ML_full_LU,U_exact
-6,0,2.67009e-06
-5.96834,5.23657e-07,2.93897e-06
-5.93668,1.05131e-06,3.23331e-06
-5.90501,1.58699e-06,3.55536e-06
-5.87335,2.13476e-06,3.90752e-06
-5.84169,2.69874e-06,4.29243e-06
-5.81003,3.28317e-06,4.71289e-06
-5.77836,3.89237e-06,5.17195e-06
-5.7467,4.5308e-06,5.67289e-06
-5.71504,5.2031e-06,6.21924e-06
-5.68338,5.91406e-06,6.81481e-06
-5.65172,6.66869e-06,7.46367e-06
-5.62005,7.47224e-06,8.17024e-06
-5.58839,8.3302e-06,8.93922e-06
-5.55673,9.24834e-06,9.77569e-06
-5.52507,1.02328e-05,1.06851e-05
-5.4934,1.12899e-05,1.16733e-05
-5.46174,1.24264e-05,1.27464e-05
-5.43008,1.36496e-05,1.39113e-05
-5.39842,1.49671e-05,1.51751e-05
-5.36675,1.63869e-05,1.65454e-05
-5.33509,1.79175e-05,1.80304e-05
-5.30343,1.9568e-05,1.96389e-05
-5.27177,2.13481e-05,2.13802e-05
-5.24011,2.32678e-05,2.32643e-05
-5.20844,2.53381e-05,2.53017e-05
-5.17678,2.75705e-05,2.75039e-05
-5.14512,2.9977e-05,2.98828e-05
-5.11346,3.25707e-05,3.24512e-05
-5.08179,3.53653e-05,3.52227e-05
-5.05013,3.83753e-05,3.82119e-05
-5.01847,4.16161e-05,4.1434e-05
-4.98681,4.5104e-05,4.49054e-05
-4.95515,4.88563e-05,4.86433e-05
-4.92348,5.28912e-05,5.2666e-05
-4.89182,5.72282e-05,5.69929e-05
-4.86016,6.18876e-05,6.16445e-05
-4.8285,6.68911e-05,6.66424e-05
-4.79683,7.22613e-05,7.20096e-05
-4.76517,7.80224e-05,7.77701e-05
-4.73351,8.41996e-05,8.39496e-05
-4.70185,9.08198e-05,9.05747e-05
-4.67018,9.7911e-05,9.76739e-05
-4.63852,0.000105503,0.000105277
-4.60686,0.000113626,0.000113415
-4.5752,0.000122314,0.000122121
-4.54354,0.000131601,0.00013143
-4.51187,0.000141522,0.000141378
-4.48021,0.000152116,0.000152003
-4.44855,0.000163422,0.000163344
-4.41689,0.000175481,0.000175444
-4.38522,0.000188337,0.000188347
-4.35356,0.000202035,0.000202097
-4.3219,0.000216622,0.000216743
-4.29024,0.000232148,0.000232334
-4.25858,0.000248664,0.000248922
-4.22691,0.000266223,0.000266561
-4.19525,0.000284882,0.000285308
-4.16359,0.000304699,0.000305221
-4.13193,0.000325733,0.00032636
-4.10026,0.000348047,0.000348789
-4.0686,0.000371707,0.000372574
-4.03694,0.000396779,0.000397781
-4.00528,0.000423333,0.000424482
-3.97361,0.000451442,0.000452749
-3.94195,0.00048118,0.000482657
-3.91029,0.000512623,0.000514284
-3.87863,0.000545852,0.00054771
-3.84697,0.000580948,0.000583017
-3.8153,0.000617995,0.00062029
-3.78364,0.000657079,0.000659616
-3.75198,0.000698291,0.000701085
-3.72032,0.000741721,0.000744789
-3.68865,0.000787463,0.000790823
-3.65699,0.000835612,0.000839282
-3.62533,0.000886267,0.000890266
-3.59367,0.000939529,0.000943876
-3.56201,0.000995499,0.00100021
-3.53034,0.00105428,0.00105939
-3.49868,0.00111598,0.0011215
-3.46702,0.00118071,0.00118666
-3.43536,0.00124857,0.00125498
-3.40369,0.00131969,0.00132657
-3.37203,0.00139416,0.00140154
-3.34037,0.0014721,0.00148001
-3.30871,0.00155363,0.0015621
-3.27704,0.00163887,0.00164791
-3.24538,0.00172793,0.00173757
-3.21372,0.00182092,0.0018312
-3.18206,0.00191797,0.0019289
-3.1504,0.00201918,0.00203081
-3.11873,0.00212469,0.00213703
-3.08707,0.0022346,0.00224768
-3.05541,0.00234903,0.00236288
-3.02375,0.0024681,0.00248275
-2.99208,0.00259191,0.00260739
-2.96042,0.00272059,0.00273693
-2.92876,0.00285424,0.00287146
-2.8971,0.00299296,0.00301111
-2.86544,0.00313688,0.00315597
-2.83377,0.00328608,0.00330614
-2.80211,0.00344067,0.00346174
-2.77045,0.00360074,0.00362285
-2.73879,0.00376638,0.00378956
-2.70712,0.0039377,0.00396196
-2.67546,0.00411476,0.00414014
-2.6438,0.00429764,0.00432418
-2.61214,0.00448642,0.00451414
-2.58047,0.00468117,0.00471009
-2.54881,0.00488194,0.0049121
-2.51715,0.0050888,0.00512021
-2.48549,0.00530178,0.00533447
-2.45383,0.00552093,0.00555493
-2.42216,0.00574628,0.00578161
-2.3905,0.00597785,0.00601454
-2.35884,0.00621567,0.00625372
-2.32718,0.00645972,0.00649917
-2.29551,0.00671003,0.00675089
-2.26385,0.00696656,0.00700885
-2.23219,0.0072293,0.00727304
-2.20053,0.00749821,0.00754342
-2.16887,0.00777326,0.00781995
-2.1372,0.00805439,0.00810257
-2.10554,0.00834152,0.00839121
-2.07388,0.0086346,0.00868579
-2.04222,0.00893352,0.00898624
-2.01055,0.00923818,0.00929243
-1.97889,0.00954848,0.00960426
-1.94723,0.00986428,0.0099216
-1.91557,0.0101855,0.0102443
-1.88391,0.0105118,0.0105722
-1.85224,0.0108433,0.0109052
-1.82058,0.0111796,0.0112431
-1.78892,0.0115206,0.0115856
-1.75726,0.0118661,0.0119326
-1.72559,0.0122158,0.0122839
