x,U_ML_full_LU,U_exact
-6,0,7.52583e-22
-5.96834,4.3552e-20,1.2118e-21
-5.93668,9.3793e-20,1.94637e-21
-5.90501,1.58398e-19,3.11844e-21
-5.87335,2.47152e-19,4.98385e-21
-5.84169,3.73373e-19,7.94529e-21
-5.81003,5.55827e-19,1.26349e-20
-5.77836,8.21397e-19,2.00424e-20
-5.7467,1.20888e-18,3.17137e-20
-5.71504,1.7744e-18,5.00565e-20
-5.68338,2.59918e-18,7.88117e-20
-5.65172,3.80071e-18,1.23776e-19
-5.62005,5.5487e-18,1.93911e-19
-5.58839,8.08795e-18,3.03029e-19
-5.55673,1.17711e-17,4.72372e-19
-5.52507,1.71051e-17,7.34515e-19
-5.4934,2.4818e-17,1.13929e-18
-5.46174,3.59534e-17,1.76273e-18
-5.43008,5.20045e-17,2.72053e-18
-5.39842,7.51049e-17,4.18832e-18
-5.36675,1.08298e-16,6.43196e-18
-5.33509,1.55916e-16,9.8529e-18
-5.30343,2.24119e-16,1.50557e-17
-5.27177,3.21648e-16,2.29487e-17
-5.24011,4.60889e-16,3.48924e-17
-5.20844,6.59357e-16,5.29203e-17
-5.17678,9.41784e-16,8.00628e-17
-5.14512,1.34303e-15,1.20825e-16
-5.11346,1.91214e-15,1.81887e-16
-5.08179,2.71802e-15,2.73126e-16
-5.05013,3.85727e-15,4.09112e-16
-5.01847,5.46511e-15,6.11279e-16
-4.98681,7.73049e-15,9.11077e-16
-4.95515,1.09169e-14,1.35453e-15
-4.92348,1.53914e-14,2.00881e-15
-4.89182,2.16639e-14,2.97172e-15
-4.86016,3.04419e-14,4.38525e-15
-4.8285,4.27052e-14,6.45504e-15
-4.79683,5.98082e-14,9.47812e-15
-4.76517,8.362e-14,1.38824e-14
-4.73351,1.16714e-13,2.02825e-14
-4.70185,1.6263e-13,2.95597e-14
-4.67018,2.26224e-13,4.29729e-14
-4.63852,3.14146e-13,6.23173e-14
-4.60686,4.3549e-13,9.01448e-14
-4.5752,6.02664e-13,1.30074e-13
-4.54354,8.32568e-13,1.87223e-13
-4.51187,1.14818e-12,2.68811e-13
-4.48021,1.58066e-12,3.84993e-13
-4.44855,2.17224e-12,5.50018e-13
-4.41689,2.97997e-12,7.83825e-13
-4.38522,4.08083e-12,1.11424e-12
-4.35356,5.57847e-12,1.58001e-12
-4.3219,7.61215e-12,2.2349e-12
-4.29024,1.03687e-11,3.15338e-12
-4.25858,1.4098e-11,4.43825e-12
-4.22691,1.91342e-11,6.23113e-12
-4.19525,2.59225e-11,8.7265e-12
-4.16359,3.50554e-11,1.21908e-11
-4.13193,4.73195e-11,1.69881e-11
-4.10026,6.37574e-11,2.36143e-11
-4.0686,8.57477e-11,3.27434e-11
-4.03694,1.1511e-10,4.5289e-11
-4.00528,1.54241e-10,6.24856e-11
-3.97361,2.06289e-10,8.59978e-11
-3.94195,2.75388e-10,1.18063e-10
-3.91029,3.66943e-10,1.61681e-10
-3.87863,4.88018e-10,2.20863e-10
-3.84697,6.47817e-10,3.00959e-10
-3.8153,8.58315e-10,4.09083e-10
-3.78364,1.13505e-09,5.54669e-10
-3.75198,1.49814e-09,7.50199e-10
-3.72032,1.9736e-09,1.01214e-09
-3.68865,2.59495e-09,1.36214e-09
-3.65699,3.40534e-09,1.82861e-09
-3.62533,4.46017e-09,2.44874e-09
-3.59367,5.83038e-09,3.27103e-09
-3.56201,7.60666e-09,4.35859e-09
-3.53034,9.90468e-09,5.79331e-09
-3.49868,1.28716e-08,7.68118e-09
-3.46702,1.66943e-08,1.01589e-08
-3.43536,2.16094e-08,1.34026e-08
-3.40369,2.79161e-08,1.76381e-08
-3.37203,3.59914e-08,2.31544e-08
-3.34037,4.631e-08,3.03204e-08
-3.30871,5.94672e-08,3.96056e-08
-3.27704,7.62087e-08,5.1606e-08
-3.24538,9.7466e-08,6.70754e-08
