x,U_ML_full_LU,U_exact
-6,0,0
-5.96834,4.00789e-80,0
-5.93668,1.20297e-79,0
-5.90501,3.20991e-79,0
-5.87335,8.43157e-79,0
-5.84169,2.20974e-78,0
-5.81003,5.78937e-78,0
-5.77836,1.5167e-77,0
-5.7467,3.97345e-77,0
-5.71504,1.04096e-76,0
-5.68338,2.72709e-76,0
-5.65172,7.14439e-76,0
-5.62005,1.87168e-75,0
-5.58839,4.90339e-75,0
-5.55673,1.28458e-74,0
-5.52507,3.36534e-74,0
-5.4934,8.81646e-74,0
-5.46174,2.30972e-73,0
-5.43008,6.05098e-73,0
-5.39842,1.58523e-72,0
-5.36675,4.15296e-72,0
-5.33509,1.08799e-71,0
-5.30343,2.85029e-71,0
-5.27177,7.46716e-71,0
-5.24011,1.95624e-70,0
-5.20844,5.12492e-70,0
-5.17678,1.34262e-69,0
-5.14512,3.51738e-69,0
-5.11346,9.21477e-69,0
-5.08179,2.41407e-68,0
-5.05013,6.32436e-68,0
-5.01847,1.65685e-67,0
-4.98681,4.34058e-67,0
-4.95515,1.13714e-66,0
-4.92348,2.97906e-66,0
-4.89182,7.80451e-66,0
-4.86016,2.04461e-65,0
-4.8285,5.35645e-65,0
-4.79683,1.40328e-64,0
-4.76517,3.67628e-64,0
-4.73351,9.63108e-64,0
-4.70185,2.52314e-63,0
-4.67018,6.61008e-63,0
-4.63852,1.7317e-62,0
-4.60686,4.53668e-62,0
-4.5752,1.18851e-61,0
-4.54354,3.11365e-61,0
-4.51187,8.1571e-61,0
-4.48021,2.13699e-60,0
-4.44855,5.59845e-60,0
-4.41689,1.46667e-59,0
-4.38522,3.84237e-59,0
-4.35356,1.00662e-58,0
-4.3219,2.63713e-58,0
-4.29024,6.90871e-58,0
-4.25858,1.80993e-57,0
-4.22691,4.74164e-57,0
-4.19525,1.24221e-56,0
-4.16359,3.25432e-56,0
-4.13193,8.52563e-56,0
-4.10026,2.23353e-55,0
-4.0686,5.85138e-55,0
-4.03694,1.53294e-54,0
-4.00528,4.01596e-54,0
-3.97361,1.0521e-53,0
-3.94195,2.75627e-53,0
-3.91029,7.22083e-53,0
-3.87863,1.8917e-52,0
-3.84697,4.95586e-52,0
-3.8153,1.29833e-51,0
-3.78364,3.40135e-51,0
-3.75198,8.9108e-51,0
-3.72032,2.33444e-50,0
-3.68865,6.11573e-50,0
-3.65699,1.60219e-49,0
-3.62533,4.1974e-49,0
-3.59367,1.09963e-48,0
-3.56201,2.88079e-48,0
-3.53034,7.54706e-48,0
-3.49868,1.97717e-47,0
-3.46702,5.17976e-47,0
-3.43536,1.35699e-46,0
-3.40369,3.55501e-46,0
-3.37203,9.31337e-46,0
-3.34037,2.4399e-45,0
-3.30871,6.39203e-45,0
-3.27704,1.67457e-44,0
-3.24538,4.38703e-44,0
-3.21372,1.14931e-43,0
-3.18206,3.01094e-43,0
-3.1504,7.88802e-43,0
-3.11873,2.06649e-42,0
-3.08707,5.41377e-42,0
-3.05541,1.41829e-41,0
-3.02375,3.71562e-41,0
-2.99208,9.73413e-41,0
-2.96042,2.55013e-40,0
-2.92876,6.68081e-40,0
-2.8971,1.75023e-39,0
-2.86544,4.58523e-39,0
-2.83377,1.20123e-38,0
-2.80211,3.14697e-38,0
-2.77045,8.24438e-38,0
-2.73879,2.15985e-37,0
-2.70712,5.65835e-37,0
-2.67546,1.48237e-36,0
-2.6438,3.88349e-36,0
-2.61214,1.01739e-35,0
-2.58047,2.66534e-35,0
-2.54881,6.98263e-35,0
-2.51715,1.8293e-34,0
-2.48549,4.79238e-34,0
-2.45383,1.2555e-33,0
-2.42216,3.28914e-33,0
-2.3905,8.61685e-33,0
-2.35884,2.25743e-32,0
-2.32718,5.91399e-32,0
-2.29551,1.54934e-31,0
-2.26385,4.05893e-31,0
-2.23219,1.06335e-30,0
-2.20053,2.78576e-30,0
-2.16887,7.2981e-30,0
-2.1372,1.91195e-29,0
-2.10554,5.00889e-29,0
-2.07388,1.31222e-28,0
-2.04222,3.43774e-28,0
-2.01055,9.00614e-28,0
-1.97889,2.35942e-27,0
-1.94723,6.18117e-27,0
-1.91557,1.61933e-26,0
-1.88391,4.24231e-26,0
-1.85224,1.11139e-25,0
-1.82058,2.91162e-25,0
-1.78892,7.62781e-25,0
-1.75726,1.99832e-24,0
-1.72559,5.23518e-24,0
-1.69393,1.37151e-23,0
-1.66227,3.59305e-23,0
-1.63061,9.41302e-23,4.34779e-291
-1.59894,2.46601e-22,5.46705e-280
-1.56728,6.46042e-22,4.16803e-269
-1.53562,1.69249e-21,1.92667e-258
-1.50396,4.43397e-21,5.39998e-248
-1.4723,1.16161e-20,9.17678e-238
-1.44063,3.04316e-20,9.45608e-228
-1.40897,7.97242e-20,5.9083e-218
-1.37731,2.0886e-19,2.23848e-208
-1.34565,5.4717e-19,5.14274e-199
-1.31398,1.43347e-18,7.16464e-190
-1.28232,3.75538e-18,6.05293e-181
-1.25066,9.83829e-18,3.10113e-172
