x,U_ML_full_LU,U_exact
-6,0,2.47291e-15
-5.96834,5.91504e-15,3.39901e-15
-5.93668,1.23069e-14,4.66418e-15
-5.90501,1.96885e-14,6.38965e-15
-5.87335,2.86468e-14,8.73888e-15
-5.84169,3.9887e-14,1.1932e-14
-5.81003,5.4284e-14,1.62648e-14
-5.77836,7.29456e-14,2.21341e-14
-5.7467,9.72926e-14,3.00714e-14
-5.71504,1.29159e-13,4.07872e-14
-5.68338,1.70918e-13,5.52296e-14
-5.65172,2.25653e-13,7.46617e-14
-5.62005,2.97359e-13,1.00763e-13
-5.58839,3.91219e-13,1.35764e-13
-5.55673,5.13951e-13,1.82619e-13
-5.52507,6.74245e-13,2.45237e-13
-5.4934,8.8334e-13,3.28778e-13
-5.46174,1.15574e-12,4.40046e-13
-5.43008,1.51016e-12,5.87994e-13
-5.39842,1.97068e-12,7.84377e-13
-5.36675,2.56827e-12,1.04461e-12
-5.33509,3.34268e-12,1.38888e-12
-5.30343,4.3449e-12,1.84354e-12
-5.27177,5.64018e-12,2.44297e-12
-5.24011,7.31197e-12,3.23194e-12
-5.20844,9.46678e-12,4.2686e-12
-5.17678,1.22404e-11,5.62842e-12
-5.14512,1.58057e-11,7.40912e-12
-5.11346,2.03822e-11,9.73699e-12
-5.08179,2.6249e-11,1.2775e-11
-5.05013,3.37593e-11,1.67331e-11
-5.01847,4.33603e-11,2.18812e-11
-4.98681,5.56171e-11,2.85656e-11
-4.95515,7.12426e-11,3.72301e-11
-4.92348,9.11351e-11,4.84422e-11
-4.89182,1.16425e-10,6.29262e-11
-4.86016,1.4853e-10,8.16053e-11
-4.8285,1.89233e-10,1.05654e-10
-4.79683,2.40761e-10,1.36562e-10
-4.76517,3.05902e-10,1.76218e-10
-4.73351,3.88138e-10,2.27014e-10
-4.70185,4.91807e-10,2.91967e-10
-4.67018,6.22309e-10,3.7488e-10
-4.63852,7.86357e-10,4.80541e-10
-4.60686,9.9228e-10,6.14961e-10
-4.5752,1.2504e-09,7.85675e-10
-4.54354,1.57348e-09,1.00212e-09
-4.51187,1.97728e-09,1.27606e-09
-4.48021,2.48126e-09,1.6222e-09
-4.44855,3.10936e-09,2.0588e-09
-4.41689,3.891e-09,2.60858e-09
-4.38522,4.86232e-09,3.2997e-09
-4.35356,6.06758e-09,4.16699e-09
-4.3219,7.56096e-09,5.25351e-09
-4.29024,9.4086e-09,6.61235e-09
-4.25858,1.16912e-08,8.30885e-09
-4.22691,1.4507e-08,1.04233e-08
-4.19525,1.79755e-08,1.30542e-08
-4.16359,2.22416e-08,1.63219e-08
-4.13193,2.7481e-08,2.03739e-08
-4.10026,3.39061e-08,2.53895e-08
-4.0686,4.17735e-08,3.15874e-08
-4.03694,5.13927e-08,3.92332e-08
-4.00528,6.31361e-08,4.86489e-08
-3.97361,7.74513e-08,6.02242e-08
-3.94195,9.48751e-08,7.443e-08
-3.91029,1.16051e-07,9.18342e-08
-3.87863,1.41747e-07,1.1312e-07
-3.84697,1.72882e-07,1.39109e-07
-3.8153,2.10549e-07,1.70785e-07
-3.78364,2.56049e-07,2.09327e-07
-3.75198,3.10928e-07,2.56141e-07
-3.72032,3.77016e-07,3.12905e-07
-3.68865,4.56482e-07,3.81614e-07
-3.65699,5.51885e-07,4.64641e-07
-3.62533,6.66245e-07,5.64793e-07
-3.59367,8.03118e-07,6.85394e-07
-3.56201,9.66679e-07,8.3037e-07
-3.53034,1.16183e-06,1.00434e-06
-3.49868,1.39431e-06,1.21276e-06
-3.46702,1.67082e-06,1.46199e-06
-3.43536,1.99918e-06,1.75952e-06
-3.40369,2.38852e-06,2.11409e-06
-3.37203,2.84941e-06,2.5359e-06
-3.34037,3.39415e-06,3.03684e-06
-3.30871,4.03698e-06,3.63071e-06
-3.27704,4.79434e-06,4.33352e-06
-3.24538,5.68523e-06,5.16381e-06
-3.21372,6.7315e-06,6.14298e-06
-3.18206,7.95829e-06,7.29573e-06
-3.1504,9.39444e-06,8.65043e-06
-3.11873,1.10729e-05,1.02397e-05
-3.08707,1.30316e-05,1.21009e-05
-3.05541,1.53133e-05,1.42766e-05
-3.02375,1.79672e-05,1.68157e-05
-2.99208,2.10488e-05,1.97736e-05
-2.96042,2.46214e-05,2.32133e-05
-2.92876,2.87562e-05,2.72061e-05
-2.8971,3.35339e-05,3.1833e-05
-2.86544,3.90455e-05,3.71851e-05
-2.83377,4.5393e-05,4.33651e-05
-2.80211,5.26912e-05,5.04884e-05
-2.77045,6.10684e-05,5.86846e-05
-2.73879,7.06682e-05,6.80985e-05
-2.70712,8.16505e-05,7.88916e-05
-2.67546,9.41934e-05,9.12441e-05
-2.6438,0.000108495,0.000105356
-2.61214,0.000124773,0.000121449
-2.58047,0.00014327,0.000139769
-2.54881,0.000164253,0.000160586
-2.51715,0.000188016,0.000184198
-2.48549,0.000214879,0.000210932
-2.45383,0.000245197,0.000241147
-2.42216,0.000279354,0.000275234
-2.3905,0.000317769,0.00031362
-2.35884,0.000360899,0.000356767
-2.32718,0.000409238,0.00040518
-2.29551,0.00046332,0.000459401
-2.26385,0.000523722,0.000520016
-2.23219,0.000591063,0.000587656
-2.20053,0.000666007,0.000662996
-2.16887,0.000749265,0.000746757
-2.1372,0.000841595,0.00083971
-2.10554,0.000943802,0.000942672
-2.07388,0.00105674,0.00105651
-2.04222,0.00118131,0.00118214
-2.01055,0.00131845,0.00132051
-1.97889,0.00146917,0.00147265
-1.94723,0.00163451,0.0016396
-1.91557,0.00181555,0.00182246
-1.88391,0.0020134,0.00202237
-1.85224,0.00222925,0.00224049
-1.82058,0.00246427,0.00247805
-1.78892,0.0027197,0.00273625
-1.75726,0.00299677,0.00301638
-1.72559,0.00329676,0.00331968
-1.69393,0.00362094,0.00364745
-1.66227,0.00397059,0.00400096
-1.63061,0.00434697,0.00438148
-1.59894,0.00475134,0.00479027
-1.56728,0.00518492,0.00522855
-1.53562,0.00564892,0.00569751
-1.50396,0.00614447,0.00619828
-1.4723,0.00667266,0.00673193
-1.44063,0.00723449,0.00729945
-1.40897,0.00783089,0.00790175
-1.37731,0.00846268,0.00853962
-1.34565,0.00913057,0.00921376
-1.31398,0.00983513,0.00992471
-1.28232,0.0105768,0.0106729
-1.25066,0.0113559,0.0114585
-1.219,0.0121724,0.0122817
-1.18734,0.0130264,0.0131422
-1.15567,0.0139174,0.0140399
-1.12401,0.0148452,0.0149742
-1.09235,0.0158089,0.0159442
-1.06069,0.0168075,0.0169492
-1.02902,0.01784,0.0179877
-0.997361,0.0189049,0.0190584
-0.965699,0.0200005,0.0201596
-0.934037,0.0211249,0.0212892
-0.902375,0.0222759,0.022445
-0.870712,0.023451,0.0236246
-0.83905,0.0246475,0.0248253
-0.807388,0.0258625,0.0260439
-0.775726,0.0270927,0.0272774
-0.744063,0.0283348,0.0285222
-0.712401,0.029585,0.0297746
-0.680739,0.0308395,0.0310309
-0.649077,0.0320943,0.0322869
-0.617414,0.0333451,0.0335384
-0.585752,0.0345875,0.0347811
-0.55409,0.0358171,0.0360104
-0.522427,0.0370292,0.0372218
-0.490765,0.0382192,0.0384107
-0.459103,0.0393823,0.0395722
-0.427441,0.0405138,0.0407018
-0.395778,0.0416091,0.0417948
-0.364116,0.0426633,0.0428464
-0.332454,0.0436721,0.0438523
-0.300792,0.0446309,0.044808
-0.269129,0.0455354,0.0457092
-0.237467,0.0463814,0.0465519
-0.205805,0.0471652,0.0473321
-0.174142,0.0478829,0.0480463
-0.14248,0.0485313,0.0486911
-0.110818,0.0491071,0.0492635
-0.0791557,0.0496077,0.0497607
-0.0474934,0.0500306,0.0501803
-0.0158311,0.0503737,0.0505203
0.0158311,0.0506354,0.0507791
0.0474934,0.0508144,0.0509554
0.0791557,0.0509098,0.0510483
