x,U_ML_full_LU,U_exact
-6,0,3.24949e-51
-5.96834,5.45786e-36,1.06512e-50
-5.93668,1.32419e-35,3.4695e-50
-5.90501,2.66564e-35,1.12312e-49
-5.87335,5.13677e-35,3.61305e-49
-5.84169,9.77643e-35,1.15508e-48
-5.81003,1.85264e-34,3.66977e-48
-5.77836,3.50327e-34,1.15866e-47
-5.7467,6.61431e-34,3.63547e-47
-5.71504,1.24707e-33,1.13359e-46
-5.68338,2.34804e-33,3.5127e-46
-5.65172,4.41503e-33,1.08172e-45
-5.62005,8.29028e-33,3.3104e-45
-5.58839,1.55456e-32,1.00678e-44
-5.55673,2.91104e-32,3.04283e-44
-5.52507,5.44354e-32,9.13928e-44
-5.4934,1.01649e-31,2.72795e-43
-5.46174,1.89545e-31,8.09189e-43
-5.43008,3.5294e-31,2.38536e-42
-5.39842,6.56241e-31,6.98792e-42
-5.36675,1.21842e-30,2.03438e-41
-5.33509,2.25888e-30,5.88583e-41
-5.30343,4.18166e-30,1.69229e-40
-5.27177,7.72963e-30,4.83537e-40
-5.24011,1.42665e-29,1.37302e-39
-5.20844,2.62918e-29,3.87448e-39
-5.17678,4.83794e-29,1.08653e-38
-5.14512,8.8886e-29,3.02804e-38
-5.11346,1.63055e-28,8.38632e-38
-5.08179,2.98644e-28,2.30819e-37
-5.05013,5.46122e-28,6.31342e-37
-5.01847,9.97092e-28,1.71612e-36
-4.98681,1.81754e-27,4.63578e-36
-4.95515,3.30775e-27,1.24448e-35
-4.92348,6.00996e-27,3.32007e-35
-4.89182,1.09018e-26,8.8023e-35
-4.86016,1.97424e-26,2.31919e-34
-4.8285,3.56927e-26,6.07254e-34
-4.79683,6.44205e-26,1.58014e-33
-4.76517,1.16073e-25,4.08612e-33
-4.73351,2.08781e-25,1.05007e-32
-4.70185,3.74885e-25,2.68177e-32
-4.67018,6.71966e-25,6.80635e-32
-4.63852,1.20235e-24,1.71672e-31
-4.60686,2.14755e-24,4.30307e-31
-4.5752,3.82891e-24,1.07189e-30
-4.54354,6.8143e-24,2.65346e-30
-4.51187,1.21053e-23,6.52783e-30
-4.48021,2.14649e-23,1.59595e-29
-4.44855,3.79904e-23,3.87758e-29
-4.41689,6.71127e-23,9.3626e-29
-4.38522,1.18335e-22,2.2466e-28
-4.35356,2.08254e-22,5.35732e-28
-4.3219,3.65794e-22,1.26959e-27
-4.29024,6.4126e-22,2.99001e-27
-4.25858,1.12197e-21,6.99804e-27
-4.22691,1.95914e-21,1.6277e-26
-4.19525,3.41414e-21,3.7624e-26
-4.16359,5.93775e-21,8.64273e-26
-4.13193,1.03057e-20,1.97302e-25
-4.10026,1.78501e-20,4.47616e-25
-4.0686,3.08535e-20,1.00919e-24
-4.03694,5.32179e-20,2.26119e-24
-4.00528,9.15993e-20,5.03497e-24
-3.97361,1.57326e-19,1.11417e-23
-3.94195,2.69633e-19,2.45019e-23
-3.91029,4.61107e-19,5.3548e-23
-3.87863,7.86822e-19,1.16301e-22
-3.84697,1.33964e-18,2.51026e-22
-3.8153,2.27578e-18,5.38455e-22
-3.78364,3.85735e-18,1.14783e-21
-3.75198,6.52315e-18,2.43164e-21
-3.72032,1.10059e-17,5.1194e-21
-3.68865,1.85261e-17,1.07111e-20
-3.65699,3.11117e-17,2.22714e-20
-3.62533,5.21234e-17,4.60211e-20
-3.59367,8.71168e-17,9.4507e-20
-3.56201,1.45252e-16,1.92871e-19
-3.53034,2.41591e-16,3.91173e-19
-3.49868,4.00837e-16,7.88437e-19
-3.46702,6.63398e-16,1.5793e-18
-3.43536,1.09519e-15,3.14382e-18
-3.40369,1.80343e-15,6.21942e-18
-3.37203,2.96207e-15,1.22276e-17
-3.34037,4.85251e-15,2.38908e-17
-3.30871,7.92868e-15,4.63893e-17
-3.27704,1.29207e-14,8.9517e-17
-3.24538,2.09997e-14,1.71669e-16
-3.21372,3.40383e-14,3.27173e-16
-3.18206,5.50225e-14,6.19673e-16
-3.1504,8.86984e-14,1.1664e-15
-3.11873,1.42588e-13,2.18189e-15
-3.08707,2.28577e-13,4.05619e-15
-3.05541,3.65383e-13,7.49384e-15
-3.02375,5.82397e-13,1.37591e-14
-2.99208,9.25619e-13,2.51061e-14
-2.96042,1.46681e-12,4.5527e-14
-2.92876,2.31756e-12,8.20465e-14
-2.8971,3.65083e-12,1.46944e-13
-2.86544,5.73379e-12,2.61546e-13
-2.83377,8.97773e-12,4.62642e-13
-2.80211,1.40137e-11,8.1329e-13
-2.77045,2.18066e-11,1.42085e-12
-2.73879,3.38265e-11,2.46692e-12
-2.70712,5.23052e-11,4.25663e-12
-2.67546,8.06191e-11,7.29927e-12
-2.6438,1.23857e-10,1.24394e-11
-2.61214,1.89662e-10,2.10679e-11
-2.58047,2.89468e-10,3.54608e-11
-2.54881,4.40318e-10,5.93173e-11
-2.51715,6.67517e-10,9.86097e-11
-2.48549,1.00849e-09,1.62916e-10
-2.45383,1.51839e-09,2.67494e-10
-2.42216,2.27813e-09,4.36488e-10
-2.3905,3.40596e-09,7.07842e-10
-2.35884,5.07403e-09,1.1408e-09
-2.32718,7.53184e-09,1.82721e-09
-2.29551,1.11396e-08,2.90854e-09
-2.26385,1.64149e-08,4.60121e-09
-2.23219,2.40987e-08,7.23397e-09
-2.20053,3.52465e-08,1.13029e-08
-2.16887,5.1356e-08,1.75516e-08
-2.1372,7.45419e-08,2.70864e-08
-2.10554,1.07777e-07,4.15429e-08
-2.07388,1.55222e-07,6.33219e-08
-2.04222,2.22669e-07,9.5923e-08
-2.01055,3.18149e-07,1.44412e-07
-1.97889,4.52739e-07,2.16071e-07
-1.94723,6.41641e-07,3.21295e-07
-1.91557,9.05622e-07,4.74815e-07
-1.88391,1.2729e-06,6.97364e-07
-1.85224,1.7816e-06,1.01791e-06
-1.82058,2.48304e-06,1.47664e-06
-1.78892,3.44582e-06,2.12891e-06
-1.75726,4.76122e-06,3.05038e-06
-1.72559,6.55e-06,4.3438e-06
-1.69393,8.97105e-06,6.14756e-06
-1.66227,1.22322e-05,8.64678e-06
-1.63061,1.66038e-05,1.20872e-05
-1.59894,2.24353e-05,1.67925e-05
-1.56728,3.01759e-05,2.31861e-05
-1.53562,4.0399e-05,3.1817e-05
-1.50396,5.38325e-05,4.33924e-05
-1.4723,7.13943e-05,5.88155e-05
-1.44063,9.4234e-05,7.92305e-05
-1.40897,0.000123782,0.000106076
-1.37731,0.000161806,0.000141146
-1.34565,0.000210475,0.000186657
-1.31398,0.000272429,0.000245328
-1.28232,0.000350862,0.000320464
-1.25066,0.000449603,0.000416043
-1.219,0.00057321,0.000536819
-1.18734,0.000727061,0.000688412
-1.15567,0.000917448,0.000877405
-1.12401,0.00115167,0.00111144
-1.09235,0.00143811,0.00139927
-1.06069,0.0017863,0.00175088
-1.02902,0.00220697,0.00217743
-0.997361,0.00271208,0.00269135
-0.965699,0.00331478,0.00330625
-0.934037,0.00402936,0.00403682
-0.902375,0.00487111,0.00489874
-0.870712,0.0058562,0.00590842
-0.83905,0.00700136,0.00708275
-0.807388,0.00832362,0.00843875
-0.775726,0.00983988,0.0099931
-0.744063,0.0115664,0.0117617
-0.712401,0.0135185,0.0137591
-0.680739,0.0157094,0.0159978
-0.649077,0.0181502,0.0184878
-0.617414,0.0208488,0.0212355
-0.585752,0.0238092,0.0242436
-0.55409,0.027031,0.0275099
-0.522427,0.0305084,0.0310271
-0.490765,0.03423,0.0347821
-0.459103,0.0381781,0.0387557
-0.427441,0.0423284,0.042922
-0.395778,0.0466499,0.0472491
-0.364116,0.051105,0.0516985
-0.332454,0.0556495,0.0562257
-0.300792,0.0602336,0.060781
-0.269129,0.064802,0.0653099
-0.237467,0.0692957,0.0697543
-0.205805,0.0736524,0.0740537
-0.174142,0.0778086,0.0781464
-0.14248,0.0817005,0.081971
-0.110818,0.0852661,0.0854682
-0.0791557,0.0884467,0.0885819
-0.0474934,0.0911885,0.0912608
-0.0158311,0.0934442,0.0934602
0.0158311,0.0951742,0.0951427
0.0474934,0.0963481,0.0962796
0.0791557,0.0969455,0.0968518
0.110818,0.0969564,0.09685
0.14248,0.0963817,0.0962752
0.174142,0.095233,0.0951386
0.205805,0.0935323,0.0934611
0.237467,0.0913114,0.0912731
0.269129,0.0886105,0.0886128
0.300792,0.0854777,0.085526
0.332454,0.0819665,0.0820642
0.364116,0.0781354,0.0782832
0.395778,0.0740455,0.0742419
0.427441,0.0697592,0.0700006
0.459103,0.0653386,0.0656196
0.490765,0.060844,0.0611579
0.522427,0.0563327,0.0566715
0.55409,0.0518577,0.0522131
0.585752,0.0474673,0.0478304
0.617414,0.0432036,0.043566
0.649077,0.0391028,0.0394566
0.680739,0.0351948,0.0355329
0.712401,0.0315029,0.0318191
0.744063,0.0280443,0.0283339
0.775726,0.0248303,0.0250896
0.807388,0.0218667,0.0220935
0.83905,0.0191546,0.0193477
0.870712,0.0166907,0.0168501
0.902375,0.014468,0.0145947
0.934037,0.0124768,0.0125727
0.965699,0.0107048,0.0107724
0.997361,0.00913834,0.00918046
1.02902,0.00776232,0.00778221
1.06069,0.00656113,0.00656214
1.09235,0.00551896,0.00550443
1.12401,0.00462014,0.00459327
1.15567,0.00384947,0.00381327
1.18734,0.00319245,0.00314964
1.219,0.00263546,0.00258843
1.25066,0.00216584,0.00211665
1.28232,0.001772,0.00172237
1.31398,0.00144346,0.00139474
1.34565,0.00117079,0.00112404
1.37731,0.000945625,0.000901623
1.40897,0.000760606,0.000719868
1.44063,0.000609304,0.000572137
1.4723,0.000486158,0.000452692
1.50396,0.000386389,0.000356616
1.53562,0.000305923,0.000279726
1.56728,0.00024131,0.000218495
1.59894,0.000189649,0.000169969
1.63061,0.000148517,0.000131693
1.66227,0.000115902,0.000101641
1.69393,9.01425e-05,7.81518e-05
1.72559,6.9877e-05,5.9872e-05
1.75726,5.39938e-05,4.57063e-05
