x,U_ML_full_LU,U_exact
-6,0,1.02794e-132
-5.96834,6.87012e-54,2.42172e-131
-5.93668,1.86784e-53,5.61104e-130
-5.90501,4.38972e-53,1.27857e-128
-5.87335,1.00584e-52,2.86526e-127
-5.84169,2.29255e-52,6.31489e-126
-5.81003,5.2171e-52,1.36877e-124
-5.77836,1.18623e-51,2.91779e-123
-5.7467,2.6952e-51,6.11703e-122
-5.71504,6.11937e-51,1.26121e-120
-5.68338,1.3884e-50,2.5574e-119
-5.65172,3.14785e-50,5.1e-118
-5.62005,7.1318e-50,1.00024e-116
-5.58839,1.61461e-49,1.9293e-115
-5.55673,3.65273e-49,3.6598e-114
-5.52507,8.25742e-49,6.82774e-113
-5.4934,1.86528e-48,1.25274e-111
-5.46174,4.21033e-48,2.2605e-110
-5.43008,9.49631e-48,4.01155e-109
-5.39842,2.14022e-47,7.00137e-108
-5.36675,4.81971e-47,1.20176e-106
-5.33509,1.08453e-46,2.02868e-105
-5.30343,2.43845e-46,3.368e-104
-5.27177,5.47818e-46,5.49915e-103
-5.24011,1.22972e-45,8.83042e-102
-5.20844,2.75814e-45,1.39454e-100
-5.17678,6.1811e-45,2.16593e-99
-5.14512,1.38404e-44,3.30843e-98
-5.11346,3.09645e-44,4.97008e-97
-5.08179,6.92158e-44,7.34293e-96
-5.05013,1.54585e-43,1.06694e-94
-5.01847,3.44946e-43,1.52466e-93
-4.98681,7.69036e-43,2.14275e-92
-4.95515,1.71298e-42,2.96166e-91
-4.92348,3.8121e-42,4.02591e-90
-4.89182,8.47573e-42,5.38216e-89
-4.86016,1.88272e-41,7.07645e-88
-4.8285,4.17818e-41,9.15038e-87
-4.79683,9.26353e-41,1.16367e-85
-4.76517,2.05186e-40,1.4554e-84
-4.73351,4.54043e-40,1.79021e-83
-4.70185,1.00374e-39,2.16567e-82
-4.67018,2.21672e-39,2.57659e-81
-4.63852,4.89062e-39,3.01484e-80
-4.60686,1.07789e-38,3.46937e-79
-4.5752,2.37323e-38,3.92648e-78
-4.54354,5.21976e-38,4.37042e-77
-4.51187,1.14684e-37,4.78421e-76
-4.48021,2.51705e-37,5.15068e-75
-4.44855,5.51839e-37,5.45364e-74
