x,U_KMB,U_exact
-6,0,1.02794e-132
-5.94979,0,1.52945e-130
-5.89958,0,2.18224e-128
-5.84937,0,2.98583e-126
-5.79916,0,3.91765e-124
-5.74895,0,4.92927e-122
-5.69874,0,5.94754e-120
-5.64854,0,6.88162e-118
-5.59833,0,7.6356e-116
-5.54812,0,8.12445e-114
-5.49791,0,8.28981e-112
-5.4477,0,8.11139e-110
-5.39749,0,7.61109e-108
-5.34728,0,6.84855e-106
-5.29707,0,5.90953e-104
-5.24686,0,4.89e-102
-5.19665,0,3.88032e-100
-5.14644,0,2.95276e-98
-5.09623,0,2.15474e-96
-5.04603,0,1.50787e-94
-4.99582,0,1.0119e-92
-4.94561,0,6.51205e-91
-4.8954,0,4.01887e-89
-4.84519,0,2.37846e-87
-4.79498,0,1.34988e-85
-4.74477,0,7.34691e-84
-4.69456,0,3.83461e-82
-4.64435,0,1.91932e-80
-4.59414,0,9.21264e-79
-4.54393,0,4.24064e-77
-4.49372,0,1.87194e-75
-4.44351,0,7.92433e-74
-4.39331,0,3.21697e-72
-4.3431,0,1.25241e-70
-4.29289,0,4.67585e-69
-4.24268,0,1.67414e-67
-4.19247,0,5.74828e-66
-4.14226,0,1.89279e-64
-4.09205,0,5.97705e-63
-4.04184,0,1.81005e-61
-3.99163,0,5.25672e-60
-3.94142,0,1.46407e-58
-3.89121,0,3.91048e-57
-3.841,0,1.00167e-55
-3.79079,0,2.46061e-54
-3.74059,0,5.79681e-53
-3.69038,0,1.30967e-51
-3.64017,0,2.83769e-50
-3.58996,0,5.89656e-49
-3.53975,0,1.17507e-47
-3.48954,0,2.24576e-46
-3.43933,0,4.1162e-45
-3.38912,0,7.23548e-44
-3.33891,0,1.21976e-42
-3.2887,0,1.97208e-41
-3.23849,0,3.05784e-40
-3.18828,0,4.54724e-39
-3.13808,0,6.48525e-38
-3.08787,0,8.8706e-37
-3.03766,0,1.16367e-35
-2.98745,0,1.46405e-34
-2.93724,0,1.76659e-33
-2.88703,0,2.04443e-32
-2.83682,0,2.26917e-31
-2.78661,0,2.41559e-30
-2.7364,0,2.46628e-29
-2.68619,0,2.41506e-28
-2.63598,0,2.2682e-27
-2.58577,0,2.04319e-26
-2.53556,0,1.76526e-25
-2.48536,0,1.46281e-24
-2.43515,0,1.16266e-23
-2.38494,0,8.86335e-23
-2.33473,0,6.48088e-22
-2.28452,0,4.5453e-21
-2.23431,0,3.05765e-20
-2.1841,0,1.97295e-19
-2.13389,0,1.22109e-18
-2.08368,0,7.24925e-18
-2.03347,0,4.12812e-17
-1.98326,0,2.25493e-16
-1.93305,0,1.18152e-15
-1.88285,0,5.93856e-15
-1.83264,0,2.86325e-14
-1.78243,0,1.32429e-13
-1.73222,0,5.87572e-13
-1.68201,0,2.50091e-12
-1.6318,0,1.02118e-11
-1.58159,0,4.00021e-11
-1.53138,0,1.50331e-10
-1.48117,7.1946e-13,5.42012e-10
-1.43096,1.16254e-11,1.87488e-09
-1.38075,1.1274e-10,6.22236e-09
-1.33054,7.99786e-10,1.98136e-08
-1.28033,4.57683e-09,6.05354e-08
-1.23013,2.21435e-08,1.77464e-07
-1.17992,9.34516e-08,4.99202e-07
-1.12971,3.5107e-07,1.34749e-06
-1.0795,1.19179e-06,3.49038e-06
-1.02929,3.69674e-06,8.67636e-06
-0.979079,1.05693e-05,2.06985e-05
-0.92887,2.80459e-05,4.73909e-05
-0.878661,6.94617e-05,0.000104143
-0.828452,0.000161319,0.00021967
-0.778243,0.000352683,0.000444777
-0.728033,0.000728238,0.000864515
-0.677824,0.00142422,0.00161322
-0.627615,0.00264455,0.0028903
-0.577406,0.00467206,0.00497229
-0.527197,0.00786765,0.00821443
-0.476987,0.012649,0.0130332
-0.426778,0.0194428,0.0198624
-0.376569,0.0286079,0.0290787
-0.32636,0.0403383,0.040902
-0.276151,0.0545599,0.0552855
-0.225941,0.0708479,0.0718216
-0.175732,0.0883915,0.0896944
-0.125523,0.106028,0.107707
-0.0753138,0.122354,0.124394
-0.0251046,0.13591,0.138218
0.0251046,0.145388,0.147803
0.0753138,0.149851,0.152167
0.125523,0.148879,0.150892
0.175732,0.142639,0.14419
0.225941,0.131844,0.132856
0.276151,0.117625,0.118108
0.32636,0.101339,0.101383
0.376569,0.0843596,0.0841031
0.426778,0.0678997,0.0674921
0.476987,0.052884,0.0524546
0.527197,0.0398958,0.0395343
0.577406,0.0291872,0.028938
0.627615,0.0207374,0.0206062
0.677824,0.0143341,0.0143015
0.728033,0.00965934,0.00969441
0.778243,0.00636122,0.00643278
0.828452,0.00410525,0.00418851
0.878661,0.00260403,0.00268283
0.92887,0.00162861,0.00169472
0.979079,0.00100739,0.0010584
1.02929,0.000618066,0.000655026
1.0795,0.000377068,0.000402568
1.12971,0.000229205,0.000246139
1.17992,0.000139024,0.000149945
1.23013,8.42259e-05,9.11168e-05
1.28033,5.09982e-05,5.52789e-05
1.33054,3.08714e-05,3.35027e-05
1.38075,1.86861e-05,2.02926e-05
1.43096,1.13101e-05,1.2287e-05
1.48117,6.84559e-06,7.43824e-06
1.53138,4.14339e-06,4.5025e-06
1.58159,2.50784e-06,2.72531e-06
1.6318,1.5179e-06,1.64956e-06
1.68201,9.1873e-07,9.98426e-07
1.73222,5.56074e-07,6.04312e-07
1.78243,3.36571e-07,3.65768e-07
1.83264,2.03714e-07,2.21386e-07
1.88285,1.233e-07,1.33997e-07
1.93305,7.46292e-08,8.11034e-08
1.98326,4.51703e-08,4.90889e-08
2.03347,2.73399e-08,2.97117e-08
2.08368,1.65479e-08,1.79834e-08
2.13389,1.00158e-08,1.08847e-08
2.1841,6.0622e-09,6.5881e-09
2.23431,3.66922e-09,3.98753e-09
2.28452,2.22085e-09,2.41351e-09
2.33473,1.3442e-09,1.46081e-09
2.38494,8.13592e-10,8.84172e-10
2.43515,4.92437e-10,5.35157e-10
2.48536,2.98054e-10,3.23911e-10
2.53556,1.80401e-10,1.96051e-10
2.58577,1.0919e-10,1.18663e-10
2.63598,6.60888e-11,7.1822e-11
2.68619,4.00011e-11,4.34712e-11
2.7364,2.42112e-11,2.63115e-11
2.78661,1.46541e-11,1.59254e-11
2.83682,8.86961e-12,9.63906e-12
2.88703,5.36845e-12,5.83417e-12
2.93724,3.24932e-12,3.53121e-12
2.98745,1.9667e-12,2.13731e-12
3.03766,1.19037e-12,1.29363e-12
3.08787,7.20486e-13,7.82989e-13
3.13808,4.36083e-13,4.73914e-13
3.18828,2.63945e-13,2.86843e-13
3.23849,1.59756e-13,1.73615e-13
3.2887,9.66946e-14,1.05083e-13
3.33891,5.85257e-14,6.36028e-14
3.38912,3.54234e-14,3.84964e-14
3.43933,2.14405e-14,2.33005e-14
3.48954,1.29771e-14,1.41029e-14
3.53975,7.85458e-15,8.53598e-15
3.58996,4.75409e-15,5.16651e-15
3.64017,2.87748e-15,3.1271e-15
3.69038,1.74163e-15,1.89272e-15
3.74059,1.05414e-15,1.14559e-15
3.79079,6.38034e-16,6.93385e-16
3.841,3.86179e-16,4.1968e-16
3.89121,2.3374e-16,2.54017e-16
3.94142,1.41474e-16,1.53747e-16
3.99163,8.5629e-17,9.30574e-17
4.04184,5.18281e-17,5.63242e-17
4.09205,3.13696e-17,3.4091e-17
4.14226,1.89869e-17,2.0634e-17
4.19247,1.14921e-17,1.2489e-17
4.24268,6.95572e-18,7.55913e-18
4.29289,4.21004e-18,4.57526e-18
4.3431,2.54818e-18,2.76924e-18
4.39331,1.54232e-18,1.67612e-18
4.44351,9.33509e-19,1.01449e-18
4.49372,5.65019e-19,6.14035e-19
4.54393,3.41985e-19,3.71653e-19
4.59414,2.06991e-19,2.24948e-19
4.64435,1.25284e-19,1.36152e-19
4.69456,7.58298e-20,8.24081e-20
4.74477,4.58969e-20,4.98786e-20
4.79498,2.77797e-20,3.01897e-20
4.84519,1.6814e-20,1.82727e-20
4.8954,1.01769e-20,1.10598e-20
4.94561,6.15971e-21,6.69408e-21
4.99582,3.72825e-21,4.05168e-21
5.04603,2.25657e-21,2.45233e-21
5.09623,1.36582e-21,1.48431e-21
5.14644,8.2668e-22,8.98395e-22
5.19665,5.00359e-22,5.43765e-22
5.24686,3.02849e-22,3.29121e-22
5.29707,1.83303e-22,1.99205e-22
5.34728,1.10947e-22,1.20571e-22
5.39749,6.71517e-23,7.29774e-23
5.4477,4.06442e-23,4.41705e-23
5.49791,2.45999e-23,2.67348e-23
5.54812,1.48885e-23,1.61816e-23
5.59833,9.00986e-24,9.79411e-24
5.64854,5.45053e-24,5.92802e-24
5.69874,3.29421e-24,3.58801e-24
5.74895,1.98574e-24,2.17169e-24
5.79916,1.18829e-24,1.31444e-24
5.84937,6.96554e-25,7.95584e-25
5.89958,3.83974e-25,4.81538e-25
5.94979,1.70121e-25,2.91457e-25
6,0,1.76408e-25
