x,U_KMB,U_exact
-6,0,3.24949e-51
-5.94979,0,2.12888e-50
-5.89958,0,1.373e-49
-5.84937,0,8.71711e-49
-5.79916,0,5.44826e-48
-5.74895,0,3.35218e-47
-5.69874,0,2.03039e-46
-5.64854,0,1.21065e-45
-5.59833,0,7.10624e-45
-5.54812,0,4.10626e-44
-5.49791,0,2.33582e-43
-5.4477,0,1.30803e-42
-5.39749,0,7.21073e-42
-5.34728,0,3.91317e-41
-5.29707,0,2.09057e-40
-5.24686,0,1.09948e-39
-5.19665,0,5.69239e-39
-5.14644,0,2.90129e-38
-5.09623,0,1.45571e-37
-5.04603,0,7.1903e-37
-4.99582,0,3.49629e-36
-4.94561,0,1.67362e-35
-4.8954,0,7.88669e-35
-4.84519,0,3.65866e-34
-4.79498,0,1.67086e-33
-4.74477,0,7.51185e-33
-4.69456,0,3.32465e-32
-4.64435,0,1.44855e-31
-4.59414,0,6.2132e-31
-4.54393,0,2.62354e-30
-4.49372,0,1.09057e-29
-4.44351,0,4.46284e-29
-4.39331,0,1.79789e-28
-4.3431,0,7.13029e-28
-4.29289,0,2.78385e-27
-4.24268,0,1.06999e-26
-4.19247,0,4.04864e-26
-4.14226,0,1.50812e-25
-4.09205,0,5.53039e-25
-4.04184,0,1.99652e-24
-3.99163,6.31536e-33,7.09562e-24
-3.94142,2.65755e-31,2.48258e-23
-3.89121,6.03006e-30,8.55099e-23
-3.841,9.66464e-29,2.89953e-22
-3.79079,1.21844e-27,9.67921e-22
-3.74059,1.27983e-26,3.18091e-21
-3.69038,1.16066e-25,1.02912e-20
-3.64017,9.30976e-25,3.27779e-20
-3.58996,6.72055e-24,1.02778e-19
-3.53975,4.42367e-23,3.17263e-19
-3.48954,2.68222e-22,9.64151e-19
-3.43933,1.51034e-21,2.88453e-18
-3.38912,7.95067e-21,8.49593e-18
-3.33891,3.93443e-20,2.4635e-17
-3.2887,1.83878e-19,7.03239e-17
-3.23849,8.1484e-19,1.97633e-16
-3.18828,3.43557e-18,5.46798e-16
-3.13808,1.38231e-17,1.48937e-15
-3.08787,5.32153e-17,3.99384e-15
-3.03766,1.96469e-16,1.05436e-14
-2.98745,6.97078e-16,2.74033e-14
-2.93724,2.38122e-15,7.01178e-14
-2.88703,7.84463e-15,1.76632e-13
-2.83682,2.49607e-14,4.38052e-13
-2.78661,7.6815e-14,1.06955e-12
-2.7364,2.2892e-13,2.57094e-12
-2.68619,6.61401e-13,6.0842e-12
-2.63598,1.85459e-12,1.41754e-11
-2.58577,5.05182e-12,3.25155e-11
-2.53556,1.338e-11,7.34291e-11
-2.48536,3.4485e-11,1.63257e-10
-2.43515,8.65571e-11,3.57355e-10
-2.38494,2.1173e-10,7.70115e-10
-2.33473,5.05078e-10,1.63396e-09
-2.28452,1.17571e-09,3.41317e-09
-2.23431,2.67212e-09,7.01949e-09
-2.1841,5.93285e-09,1.42131e-08
-2.13389,1.28749e-08,2.83339e-08
-2.08368,2.73214e-08,5.56112e-08
-2.03347,5.67202e-08,1.07463e-07
-1.98326,1.15247e-07,2.04454e-07
-1.93305,2.29273e-07,3.82979e-07
-1.88285,4.46754e-07,7.06319e-07
-1.83264,8.52965e-07,1.28255e-06
-1.78243,1.5962e-06,2.29297e-06
-1.73222,2.92869e-06,4.03622e-06
-1.68201,5.2701e-06,6.99531e-06
-1.6318,9.30353e-06,1.1937e-05
-1.58159,1.61167e-05,2.0056e-05
-1.53138,2.7404e-05,3.31785e-05
-1.48117,4.57475e-05,5.40425e-05
-1.43096,7.49953e-05,8.66728e-05
-1.38075,0.000120756,0.000136868
-1.33054,0.000191021,0.000212813
-1.28033,0.000296916,0.000325816
-1.23013,0.000453576,0.000491167
-1.17992,0.00068109,0.000729075
-1.12971,0.00100547,0.00106563
-1.0795,0.00145954,0.00153368
-1.02929,0.00208356,0.00217352
-0.979079,0.00292551,0.00303316
-0.92887,0.00404076,0.00416807
-0.878661,0.00549091,0.00564013
-0.828452,0.00734175,0.00751558
-0.778243,0.00966001,0.00986189
-0.728033,0.0125091,0.0127435
-0.677824,0.0159437,0.0162164
-0.627615,0.0200035,0.0203218
-0.577406,0.0247071,0.0250797
-0.527197,0.030045,0.0304817
-0.476987,0.0359742,0.0364857
-0.426778,0.0424144,0.043011
-0.376569,0.0492459,0.0499366
-0.32636,0.0563106,0.0571019
-0.276151,0.0634164,0.0643108
-0.225941,0.0703447,0.0713394
-0.175732,0.0768606,0.0779468
-0.125523,0.082726,0.0838884
-0.0753138,0.0877137,0.0889311
-0.0251046,0.0916222,0.092868
0.0251046,0.094289,0.0955332
0.0753138,0.095602,0.0968129
0.125523,0.095507,0.0966539
0.175732,0.094012,0.095067
0.225941,0.0911855,0.0921264
0.276151,0.0871524,0.0879634
0.32636,0.0820838,0.0827571
0.376569,0.0761862,0.0767214
0.426778,0.0696867,0.070091
0.476987,0.0628193,0.0631057
0.527197,0.0558113,0.0559969
0.577406,0.0488712,0.0489758
0.627615,0.0421797,0.0422235
0.677824,0.0358832,0.0358856
0.728033,0.0300912,0.0300689
0.778243,0.0248753,0.0248423
0.828452,0.0202724,0.0202389
0.878661,0.0162885,0.0162614
0.92887,0.012904,0.0128872
0.979079,0.0100804,0.010075
1.02929,0.00776568,0.00777128
1.0795,0.00590043,0.00591515
1.12971,0.00442228,0.0044437
1.17992,0.00326987,0.00329545
1.23013,0.00238569,0.00241306
1.28033,0.00171783,0.00174504
1.33054,0.00122104,0.00124663
1.38075,0.000856982,0.000880007
1.43096,0.000594064,0.000614011
1.48117,0.000406871,0.000423595
1.53138,0.000275425,0.000289042
1.58159,0.000184354,0.000195151
1.6318,0.000122068,0.000130424
1.68201,7.9997e-05,8.63189e-05
1.73222,5.19167e-05,5.66004e-05
1.78243,3.33858e-05,3.67883e-05
1.83264,2.12872e-05,2.37137e-05
1.88285,1.34669e-05,1.51678e-05
1.93305,8.45899e-06,9.63212e-06
1.98326,5.27943e-06,6.07635e-06
2.03347,3.27636e-06,3.81012e-06
2.08368,2.02325e-06,2.37609e-06
2.13389,1.24412e-06,1.47458e-06
2.1841,7.62307e-07,9.11165e-07
2.23431,4.65712e-07,5.60905e-07
2.28452,2.83839e-07,3.44167e-07
2.33473,1.72667e-07,2.10595e-07
2.38494,1.04886e-07,1.28564e-07
2.43515,6.36429e-08,7.83354e-08
2.48536,3.85864e-08,4.76561e-08
2.53556,2.33813e-08,2.89559e-08
2.58577,1.41622e-08,1.75762e-08
2.63598,8.57576e-09,1.06606e-08
2.68619,5.19205e-09,6.46227e-09
2.7364,3.14308e-09,3.9156e-09
2.78661,1.90257e-09,2.37176e-09
2.83682,1.15162e-09,1.43628e-09
2.88703,6.97052e-10,8.69638e-10
2.93724,4.21906e-10,5.26484e-10
2.98745,2.55366e-10,3.18711e-10
3.03766,1.54564e-10,1.92923e-10
3.08787,9.35522e-11,1.16777e-10
3.13808,5.66238e-11,7.06836e-11
3.18828,3.42723e-11,4.27833e-11
3.23849,2.07437e-11,2.58955e-11
3.2887,1.25554e-11,1.56738e-11
3.33891,7.59934e-12,9.48679e-12
3.38912,4.5996e-12,5.74202e-12
3.43933,2.78397e-12,3.47544e-12
3.48954,1.68503e-12,2.10356e-12
3.53975,1.01989e-12,1.27321e-12
3.58996,6.17301e-13,7.70625e-13
3.64017,3.73629e-13,4.66431e-13
3.69038,2.26144e-13,2.82314e-13
3.74059,1.36877e-13,1.70874e-13
3.79079,8.28464e-14,1.03424e-13
3.841,5.01438e-14,6.25986e-14
3.89121,3.03502e-14,3.78886e-14
3.94142,1.83699e-14,2.29326e-14
3.99163,1.11186e-14,1.38802e-14
4.04184,6.72968e-15,8.4012e-15
4.09205,4.07323e-15,5.08494e-15
4.14226,2.46537e-15,3.07772e-15
4.19247,1.4922e-15,1.86283e-15
4.24268,9.03173e-16,1.1275e-15
4.29289,5.46658e-16,6.82436e-16
4.3431,3.30872e-16,4.13054e-16
4.39331,2.00264e-16,2.50006e-16
4.44351,1.21213e-16,1.51319e-16
4.49372,7.33655e-17,9.15881e-17
4.54393,4.44055e-17,5.54349e-17
4.59414,2.6877e-17,3.35527e-17
4.64435,1.62676e-17,2.03082e-17
4.69456,9.84621e-18,1.22918e-17
4.74477,5.95955e-18,7.43978e-18
4.79498,3.60709e-18,4.50302e-18
4.84519,2.18324e-18,2.72551e-18
4.8954,1.32143e-18,1.64965e-18
4.94561,7.99816e-19,9.98474e-19
4.99582,4.84099e-19,6.04339e-19
5.04603,2.93007e-19,3.65784e-19
5.09623,1.77346e-19,2.21396e-19
5.14644,1.07341e-19,1.34003e-19
5.19665,6.49697e-20,8.11069e-20
