x,U_KMB,U_exact
-6,0,2.67009e-06
-5.94979,7.93257e-07,3.10816e-06
-5.89958,1.60213e-06,3.61356e-06
-5.84937,2.44244e-06,4.19586e-06
-5.79916,3.33047e-06,4.86588e-06
-5.74895,4.28315e-06,5.6358e-06
-5.69874,5.31833e-06,6.51935e-06
-5.64854,6.45495e-06,7.53194e-06
-5.59833,7.71337e-06,8.69089e-06
-5.54812,9.11555e-06,1.00156e-05
-5.49791,1.06853e-05,1.15276e-05
-5.4477,1.24488e-05,1.32514e-05
-5.39749,1.44343e-05,1.52137e-05
-5.34728,1.66731e-05,1.74447e-05
-5.29707,1.91996e-05,1.99777e-05
-5.24686,2.20514e-05,2.28498e-05
-5.19665,2.52701e-05,2.61019e-05
-5.14644,2.89011e-05,2.97795e-05
-5.09623,3.29948e-05,3.39326e-05
-5.04603,3.7606e-05,3.86163e-05
-4.99582,4.27952e-05,4.38913e-05
-4.94561,4.86286e-05,4.98243e-05
-4.8954,5.51787e-05,5.64882e-05
-4.84519,6.25247e-05,6.3963e-05
-4.79498,7.07529e-05,7.2336e-05
-4.74477,7.99577e-05,8.17022e-05
-4.69456,9.02415e-05,9.21654e-05
-4.64435,0.000101716,0.000103838
-4.59414,0.000114501,0.000116842
-4.54393,0.000128727,0.000131309
-4.49372,0.000144536,0.000147383
-4.44351,0.000162079,0.000165216
-4.39331,0.00018152,0.000184975
-4.3431,0.000203035,0.000206837
-4.29289,0.000226812,0.000230992
-4.24268,0.000253052,0.000257644
-4.19247,0.00028197,0.00028701
-4.14226,0.000313795,0.000319322
-4.09205,0.000348769,0.000354826
-4.04184,0.000387152,0.000393783
-3.99163,0.000429216,0.000436468
-3.94142,0.000475248,0.000483172
-3.89121,0.000525552,0.000534203
-3.841,0.000580446,0.000589882
-3.79079,0.000640265,0.000650546
-3.74059,0.000705356,0.000716549
-3.69038,0.000776084,0.000788257
-3.64017,0.000852826,0.000866053
-3.58996,0.000935973,0.000950333
-3.53975,0.00102593,0.00104151
-3.48954,0.00112312,0.00113999
-3.43933,0.00122796,0.00124622
