x,U_KMB,U_exact
-6,0,0
-5.94979,0,0
-5.89958,0,0
-5.84937,0,0
-5.79916,0,0
-5.74895,0,0
-5.69874,0,0
-5.64854,0,0
-5.59833,0,0
-5.54812,0,0
-5.49791,0,0
-5.4477,0,0
-5.39749,0,0
-5.34728,0,0
-5.29707,0,0
-5.24686,0,0
-5.19665,0,0
-5.14644,0,0
-5.09623,0,0
-5.04603,0,0
-4.99582,0,0
-4.94561,0,0
-4.8954,0,0
-4.84519,0,0
-4.79498,0,0
-4.74477,0,0
-4.69456,0,0
-4.64435,0,0
-4.59414,0,0
-4.54393,0,0
-4.49372,0,0
-4.44351,0,0
-4.39331,0,0
-4.3431,0,0
-4.29289,0,0
-4.24268,0,0
-4.19247,0,0
-4.14226,0,0
-4.09205,0,0
-4.04184,0,0
-3.99163,0,0
-3.94142,0,0
-3.89121,0,0
-3.841,0,0
-3.79079,0,0
-3.74059,0,0
-3.69038,0,0
-3.64017,0,0
-3.58996,0,0
-3.53975,0,0
-3.48954,0,0
-3.43933,0,0
-3.38912,0,0
-3.33891,0,0
-3.2887,0,0
-3.23849,0,0
-3.18828,0,0
-3.13808,0,0
-3.08787,0,0
-3.03766,0,0
-2.98745,0,0
-2.93724,0,0
-2.88703,0,0
-2.83682,0,0
-2.78661,0,0
-2.7364,0,0
-2.68619,0,0
-2.63598,0,0
-2.58577,0,0
-2.53556,0,0
-2.48536,0,0
-2.43515,0,0
-2.38494,0,0
-2.33473,0,0
-2.28452,0,0
-2.23431,0,0
-2.1841,0,0
-2.13389,0,0
-2.08368,0,0
-2.03347,0,0
-1.98326,0,0
-1.93305,0,0
-1.88285,0,0
-1.83264,0,0
-1.78243,0,0
-1.73222,0,0
-1.68201,0,0
-1.6318,0,0
-1.58159,0,0
-1.53138,0,0
-1.48117,0,0
-1.43096,0,0
-1.38075,0,0
-1.33054,0,0
-1.28033,0,0
-1.23013,0,0
-1.17992,0,0
-1.12971,0,0
-1.0795,0,0
-1.02929,0,0
-0.979079,0,0
-0.92887,0,0
-0.878661,0,0
-0.828452,0,0
-0.778243,0,0
-0.728033,0,0
-0.677824,0,0
-0.627615,0,0
-0.577406,0,0
-0.527197,0,0
-0.476987,0,0
-0.426778,0,0
-0.376569,0,0
-0.32636,0,0
-0.276151,0,0
-0.225941,0,0
-0.175732,0,0
-0.125523,0,0
-0.0753138,0,0
-0.0251046,0,0
0.0251046,0.777987,0.777987
0.0753138,0.470887,0.470887
0.125523,0.28501,0.28501
0.175732,0.172506,0.172506
0.225941,0.104412,0.104412
0.276151,0.0631965,0.0631965
0.32636,0.0382505,0.0382505
0.376569,0.0231516,0.0231516
0.426778,0.0140128,0.0140128
0.476987,0.00848144,0.00848144
0.527197,0.00513351,0.00513351
0.577406,0.00310712,0.00310712
0.627615,0.00188063,0.00188063
0.677824,0.00113827,0.00113827
0.728033,0.000688955,0.000688955
0.778243,0.000416999,0.000416999
0.828452,0.000252394,0.000252394
0.878661,0.000152765,0.000152765
0.92887,9.24629e-05,9.24629e-05
0.979079,5.59644e-05,5.59644e-05
1.02929,3.38732e-05,3.38732e-05
1.0795,2.05022e-05,2.05022e-05
1.12971,1.24092e-05,1.24092e-05
1.17992,7.51084e-06,7.51084e-06
1.23013,4.54603e-06,4.54603e-06
1.28033,2.75155e-06,2.75155e-06
1.33054,1.66541e-06,1.66541e-06
1.38075,1.00801e-06,1.00801e-06
1.43096,6.10112e-07,6.10112e-07
1.48117,3.69278e-07,3.69278e-07
1.53138,2.2351e-07,2.2351e-07
1.58159,1.35283e-07,1.35283e-07
1.6318,8.18816e-08,8.18816e-08
1.68201,4.95599e-08,4.95599e-08
1.73222,2.99968e-08,2.99968e-08
1.78243,1.81559e-08,1.81559e-08
1.83264,1.09891e-08,1.09891e-08
1.88285,6.65131e-09,6.65131e-09
1.93305,4.02579e-09,4.02579e-09
1.98326,2.43666e-09,2.43666e-09
2.03347,1.47482e-09,1.47482e-09
2.08368,8.92656e-10,8.92656e-10
2.13389,5.40292e-10,5.40292e-10
2.1841,3.27019e-10,3.27019e-10
2.23431,1.97932e-10,1.97932e-10
2.28452,1.19801e-10,1.19801e-10
2.33473,7.25112e-11,7.25112e-11
2.38494,4.38883e-11,4.38883e-11
2.43515,2.6564e-11,2.6564e-11
2.48536,1.60782e-11,1.60782e-11
2.53556,9.73154e-12,9.73154e-12
2.58577,5.89014e-12,5.89014e-12
2.63598,3.56509e-12,3.56509e-12
2.68619,2.15782e-12,2.15782e-12
2.7364,1.30605e-12,1.30605e-12
2.78661,7.90502e-13,7.90502e-13
2.83682,4.78461e-13,4.78461e-13
2.88703,2.89595e-13,2.89595e-13
2.93724,1.75281e-13,1.75281e-13
2.98745,1.06091e-13,1.06091e-13
3.03766,6.42131e-14,6.42131e-14
3.08787,3.88658e-14,3.88658e-14
3.13808,2.3524e-14,2.3524e-14
3.18828,1.42382e-14,1.42382e-14
3.23849,8.61788e-15,8.61788e-15
3.2887,5.21608e-15,5.21608e-15
3.33891,3.1571e-15,3.1571e-15
3.38912,1.91088e-15,1.91088e-15
3.43933,1.15658e-15,1.15658e-15
3.48954,7.00038e-16,7.00038e-16
3.53975,4.23707e-16,4.23707e-16
3.58996,2.56454e-16,2.56454e-16
3.64017,1.55222e-16,1.55222e-16
3.69038,9.39503e-17,9.39503e-17
