x,U_KMB,U_exact
3.48954,1.85271e-15,1.90481e-15
3.53975,1.12138e-15,1.15291e-15
3.58996,6.78728e-16,6.97813e-16
3.64017,4.10809e-16,4.2236e-16
3.69038,2.48647e-16,2.55639e-16
3.74059,1.50497e-16,1.54729e-16
3.79079,9.10904e-17,9.36517e-17
3.841,5.51336e-17,5.66839e-17
3.89121,3.33704e-17,3.43087e-17
3.94142,2.01978e-17,2.07658e-17
3.99163,1.2225e-17,1.25688e-17
4.04184,7.39935e-18,7.60741e-18
4.09205,4.47855e-18,4.60448e-18
4.14226,2.7107e-18,2.78692e-18
4.19247,1.64069e-18,1.68682e-18
4.24268,9.93048e-19,1.02097e-18
4.29289,6.01055e-19,6.17956e-19
4.3431,3.63797e-19,3.74026e-19
4.39331,2.20193e-19,2.26384e-19
4.44351,1.33274e-19,1.37022e-19
4.49372,8.06661e-20,8.29344e-20
4.54393,4.88242e-20,5.01971e-20
4.59414,2.95515e-20,3.03825e-20
4.64435,1.78864e-20,1.83894e-20
4.69456,1.0826e-20,1.11304e-20
4.74477,6.55258e-21,6.73683e-21
4.79498,3.96603e-21,4.07755e-21
4.84519,2.40049e-21,2.46799e-21
4.8954,1.45293e-21,1.49378e-21
4.94561,8.79405e-22,9.04133e-22
4.99582,5.32271e-22,5.47238e-22
5.04603,3.22164e-22,3.31223e-22
5.09623,1.94994e-22,2.00477e-22
5.14644,1.18023e-22,1.21341e-22
5.19665,7.14348e-23,7.34435e-23
5.24686,4.32368e-23,4.44526e-23
5.29707,2.61697e-23,2.69055e-23
5.34728,1.58395e-23,1.62849e-23
5.39749,9.58709e-24,9.85666e-24
5.4477,5.80271e-24,5.96588e-24
5.49791,3.51217e-24,3.61092e-24
5.54812,2.12578e-24,2.18556e-24
5.59833,1.28664e-24,1.32284e-24
5.64854,7.78691e-25,8.00665e-25
5.69874,4.71098e-25,4.84613e-25
5.74895,2.8456e-25,2.93318e-25
5.79916,1.70907e-25,1.77535e-25
5.84937,1.00728e-25,1.07455e-25
5.89958,5.58868e-26,6.50387e-26
5.94979,2.48969e-26,3.93655e-26
6,0,2.38265e-26
