x,U_ML_Thomas,U_exact
-6,0,3.59361e-155
-5.99494,4.18534e-134,6.50561e-155
-5.98987,9.24561e-134,1.17714e-154
-5.98481,1.62377e-133,2.12888e-154
-5.97975,2.66204e-133,3.8482e-154
-5.97468,4.25569e-133,6.95258e-154
-5.96962,6.73633e-133,1.2555e-153
-5.96456,1.06196e-132,2.26607e-153
-5.95949,1.67117e-132,4.088e-153
-5.95443,2.62762e-132,7.37109e-153
-5.94937,4.12944e-132,1.32842e-152
-5.9443,6.48741e-132,2.39289e-152
-5.93924,1.0189e-131,4.30816e-152
-5.93418,1.59985e-131,7.75254e-152
-5.92911,2.51142e-131,1.39437e-151
-5.92405,3.94143e-131,2.50667e-151
-5.91899,6.1842e-131,4.50401e-151
-5.91392,9.70082e-131,8.08879e-151
-5.90886,1.52135e-130,1.45195e-150
-5.9038,2.38531e-130,2.60496e-150
-5.89873,3.73899e-130,4.67126e-150
-5.89367,5.85949e-130,8.3724e-150
-5.88861,9.18037e-130,1.49985e-149
-5.88354,1.43799e-129,2.68554e-149
-5.87848,2.25188e-129,4.80614e-149
-5.87342,3.52557e-129,8.59694e-149
-5.86835,5.51834e-129,1.537e-148
-5.86329,8.63539e-129,2.74656e-148
-5.85823,1.35098e-128,4.90552e-148
-5.85316,2.11306e-128,8.75719e-148
-5.8481,3.30422e-128,1.56253e-147
-5.84304,5.16559e-128,2.78659e-147
-5.83797,8.07355e-128,4.96708e-147
-5.83291,1.26155e-127,8.84938e-147
-5.82785,1.97077e-127,1.57582e-146
-5.82278,3.07795e-127,2.80469e-146
-5.81772,4.80598e-127,4.98936e-146
-5.81266,7.50232e-127,8.87132e-146
-5.80759,1.17085e-126,1.57657e-145
-5.80253,1.82685e-126,2.80042e-145
-5.79747,2.84969e-126,4.97182e-145
-5.79241,4.44411e-126,8.82248e-145
-5.78734,6.92891e-126,1.56476e-144
-5.78228,1.08004e-125,2.77389e-144
-5.77722,1.68308e-125,4.91489e-144
-5.77215,2.62219e-125,8.70403e-144
-5.76709,4.08429e-125,1.54067e-143
-5.76203,6.36006e-125,2.72573e-143
-5.75696,9.90145e-125,4.81991e-143
-5.7519,1.54109e-124,8.51878e-143
-5.74684,2.39801e-124,1.50487e-142
-5.74177,3.7305e-124,2.65707e-142
-5.73671,5.80195e-124,4.68912e-142
-5.73165,9.02139e-124,8.27107e-142
-5.72658,1.40238e-123,1.45819e-141
-5.72152,2.17946e-123,2.56952e-141
-5.71646,3.38629e-123,4.52555e-141
-5.71139,5.26007e-123,7.96661e-141
-5.70633,8.16866e-123,1.40171e-140
-5.70127,1.26824e-122,2.46506e-140
-5.6962,1.96854e-122,4.3329e-140
-5.69114,3.05477e-122,7.61224e-140
-5.68608,4.73918e-122,1.33669e-139
-5.68101,7.35055e-122,2.34601e-139
-5.67595,1.1398e-121,4.11541e-139
-5.67089,1.76696e-121,7.21571e-139
-5.66582,2.73852e-121,1.26453e-138
-5.66076,4.24324e-121,2.21493e-138
-5.6557,6.57309e-121,3.87771e-138
-5.65063,1.01796e-120,6.78536e-138
-5.64557,1.57611e-120,1.18674e-137
-5.64051,2.43966e-120,2.07452e-137
-5.63544,3.7754e-120,3.62464e-137
-5.63038,5.84101e-120,6.32987e-137
-5.62532,9.03448e-120,1.10486e-136
-5.62025,1.39704e-119,1.92754e-136
-5.61519,2.15975e-119,3.3611e-136
-5.61013,3.33802e-119,5.85792e-136
-5.60506,5.15781e-119,1.02044e-135
-5.6,7.96765e-119,1.77671e-135
-5.59494,1.23051e-118,3.09191e-135
-5.58987,1.8999e-118,5.37799e-135
-5.58481,2.93268e-118,9.34967e-135
-5.57975,4.52573e-118,1.62464e-134
-5.57468,6.98235e-118,2.82162e-134
-5.56962,1.07697e-117,4.89806e-134
-5.56456,1.66072e-117,8.49831e-134
-5.55949,2.56022e-117,1.47375e-133
-5.55443,3.94591e-117,2.55445e-133
-5.54937,6.08003e-117,4.42543e-133
-5.5443,9.36599e-117,7.66295e-133
-5.53924,1.44241e-116,1.32623e-132
-5.53418,2.22083e-116,2.29417e-132
-5.52911,3.41845e-116,3.96657e-132
-5.52405,5.26055e-116,6.85468e-132
-5.51899,8.09324e-116,1.18397e-131
-5.51392,1.2448e-115,2.044e-131
-5.50886,1.91412e-115,3.52697e-131
-5.5038,2.94255e-115,6.08283e-131
-5.49873,4.52238e-115,1.04856e-130
-5.49367,6.94862e-115,1.8066e-130
-5.48861,1.06738e-114,3.11112e-130
-5.48354,1.63917e-114,5.35491e-130
-5.47848,2.51663e-114,9.21237e-130
-5.47342,3.86279e-114,1.58407e-129
-5.46835,5.92749e-114,2.72244e-129
-5.46329,9.09343e-114,4.67656e-129
-5.45823,1.39467e-113,8.0293e-129
