x,U_ML_Thomas,U_exact
-6,0,0
-5.99494,3.08099e-396,0
-5.98987,8.82412e-396,0
-5.98481,2.21911e-395,0
-5.97975,5.47284e-395,0
-5.97468,1.34539e-394,0
-5.96962,3.30546e-394,0
-5.96456,8.12001e-394,0
-5.95949,1.99458e-393,0
-5.95443,4.89919e-393,0
-5.94937,1.2033e-392,0
-5.9443,2.95529e-392,0
-5.93924,7.25777e-392,0
-5.93418,1.78231e-391,0
-5.92911,4.37666e-391,0
-5.92405,1.07468e-390,0
-5.91899,2.6387e-390,0
-5.91392,6.47859e-390,0
-5.90886,1.59055e-389,0
-5.9038,3.90473e-389,0
-5.89873,9.58543e-389,0
-5.89367,2.35293e-388,0
-5.88861,5.77543e-388,0
-5.88354,1.41754e-387,0
-5.87848,3.47908e-387,0
-5.87342,8.53826e-387,0
-5.86835,2.09532e-386,0
-5.86329,5.14174e-386,0
-5.85823,1.26167e-385,0
-5.85316,3.09569e-385,0
-5.8481,7.59532e-385,0
-5.84304,1.86342e-384,0
-5.83797,4.57144e-384,0
-5.83291,1.12143e-383,0
-5.82785,2.75084e-383,0
-5.82278,6.74741e-383,0
-5.81772,1.65495e-382,0
-5.81266,4.0589e-382,0
-5.80759,9.95426e-382,0
-5.80253,2.4411e-381,0
-5.79747,5.98602e-381,0
-5.79241,1.4678e-380,0
-5.78734,3.59892e-380,0
-5.78228,8.82375e-380,0
-5.77722,2.16327e-379,0
-5.77215,5.30327e-379,0
-5.76709,1.30003e-378,0
-5.76203,3.18668e-378,0
-5.75696,7.81087e-378,0
-5.7519,1.91442e-377,0
-5.74684,4.6919e-377,0
-5.74177,1.14984e-376,0
-5.73671,2.81775e-376,0
-5.73165,6.90465e-376,0
-5.72658,1.69183e-375,0
-5.72152,4.14523e-375,0
-5.71646,1.01558e-374,0
-5.71139,2.48804e-374,0
-5.70633,6.09503e-374,0
-5.70127,1.49303e-373,0
-5.6962,3.65711e-373,0
-5.69114,8.95741e-373,0
-5.68608,2.19382e-372,0
