x,U_ML_Thomas,U_exact
-6,0,2.67009e-06
-5.99494,8.49142e-08,2.71147e-06
-5.98987,1.69845e-07,2.75345e-06
-5.98481,2.5481e-07,2.79604e-06
-5.97975,3.39825e-07,2.83926e-06
-5.97468,4.24907e-07,2.88311e-06
-5.96962,5.10074e-07,2.9276e-06
-5.96456,5.95341e-07,2.97274e-06
-5.95949,6.80726e-07,3.01853e-06
-5.95443,7.66246e-07,3.06499e-06
-5.94937,8.51918e-07,3.11213e-06
-5.9443,9.37758e-07,3.15995e-06
-5.93924,1.02378e-06,3.20847e-06
-5.93418,1.11001e-06,3.25769e-06
-5.92911,1.19646e-06,3.30762e-06
-5.92405,1.28314e-06,3.35827e-06
-5.91899,1.37008e-06,3.40966e-06
-5.91392,1.45729e-06,3.46179e-06
-5.90886,1.54479e-06,3.51466e-06
-5.9038,1.63259e-06,3.56831e-06
-5.89873,1.72071e-06,3.62272e-06
-5.89367,1.80917e-06,3.67792e-06
-5.88861,1.89799e-06,3.73391e-06
-5.88354,1.98719e-06,3.7907e-06
-5.87848,2.07677e-06,3.84831e-06
-5.87342,2.16677e-06,3.90675e-06
-5.86835,2.25719e-06,3.96602e-06
-5.86329,2.34806e-06,4.02614e-06
-5.85823,2.43938e-06,4.08711e-06
-5.85316,2.53119e-06,4.14896e-06
-5.8481,2.62349e-06,4.21169e-06
-5.84304,2.71631e-06,4.27532e-06
-5.83797,2.80967e-06,4.33985e-06
-5.83291,2.90357e-06,4.4053e-06
-5.82785,2.99804e-06,4.47167e-06
-5.82278,3.0931e-06,4.53899e-06
-5.81772,3.18877e-06,4.60727e-06
-5.81266,3.28506e-06,4.67651e-06
-5.80759,3.38199e-06,4.74673e-06
-5.80253,3.47959e-06,4.81795e-06
-5.79747,3.57786e-06,4.89017e-06
-5.79241,3.67683e-06,4.96341e-06
-5.78734,3.77652e-06,5.03768e-06
-5.78228,3.87695e-06,5.113e-06
-5.77722,3.97813e-06,5.18937e-06
-5.77215,4.08008e-06,5.26683e-06
-5.76709,4.18283e-06,5.34537e-06
-5.76203,4.28638e-06,5.42501e-06
-5.75696,4.39078e-06,5.50576e-06
-5.7519,4.49602e-06,5.58765e-06
-5.74684,4.60213e-06,5.67068e-06
-5.74177,4.70914e-06,5.75488e-06
-5.73671,4.81705e-06,5.84025e-06
-5.73165,4.9259e-06,5.92681e-06
-5.72658,5.0357e-06,6.01457e-06
-5.72152,5.14647e-06,6.10356e-06
-5.71646,5.25823e-06,6.19379e-06
-5.71139,5.371e-06,6.28526e-06
-5.70633,5.48481e-06,6.37801e-06
-5.70127,5.59967e-06,6.47205e-06
-5.6962,5.7156e-06,6.56738e-06
-5.69114,5.83264e-06,6.66404e-06
-5.68608,5.95078e-06,6.76203e-06
-5.68101,6.07007e-06,6.86137e-06
-5.67595,6.19052e-06,6.96209e-06
-5.67089,6.31215e-06,7.06419e-06
-5.66582,6.43498e-06,7.1677e-06
-5.66076,6.55904e-06,7.27263e-06
-5.6557,6.68435e-06,7.37901e-06
-5.65063,6.81093e-06,7.48684e-06
-5.64557,6.9388e-06,7.59616e-06
-5.64051,7.06799e-06,7.70697e-06
-5.63544,7.19852e-06,7.8193e-06
-5.63038,7.3304e-06,7.93316e-06
-5.62532,7.46368e-06,8.04858e-06
-5.62025,7.59836e-06,8.16557e-06
-5.61519,7.73448e-06,8.28416e-06
-5.61013,7.87205e-06,8.40437e-06
-5.60506,8.0111e-06,8.5262e-06
-5.6,8.15166e-06,8.6497e-06
-5.59494,8.29374e-06,8.77487e-06
-5.58987,8.43738e-06,8.90174e-06
-5.58481,8.5826e-06,9.03033e-06
-5.57975,8.72943e-06,9.16065e-06
-5.57468,8.87788e-06,9.29274e-06
-5.56962,9.02798e-06,9.42662e-06
-5.56456,9.17977e-06,9.5623e-06
-5.55949,9.33326e-06,9.69981e-06
-5.55443,9.48848e-06,9.83917e-06
-5.54937,9.64546e-06,9.9804e-06
-5.5443,9.80423e-06,1.01235e-05
-5.53924,9.96481e-06,1.02686e-05
-5.53418,1.01272e-05,1.04156e-05
-5.52911,1.02915e-05,1.05646e-05
-5.52405,1.04577e-05,1.07155e-05
-5.51899,1.06258e-05,1.08685e-05
-5.51392,1.07958e-05,1.10235e-05
-5.50886,1.09679e-05,1.11806e-05
-5.5038,1.11419e-05,1.13398e-05
-5.49873,1.1318e-05,1.15011e-05
-5.49367,1.14961e-05,1.16646e-05
-5.48861,1.16763e-05,1.18302e-05
-5.48354,1.18587e-05,1.1998e-05
-5.47848,1.20432e-05,1.21681e-05
-5.47342,1.22299e-05,1.23404e-05
-5.46835,1.24188e-05,1.25149e-05
-5.46329,1.26099e-05,1.26918e-05
-5.45823,1.28034e-05,1.28711e-05
-5.45316,1.29991e-05,1.30526e-05
-5.4481,1.31972e-05,1.32366e-05
-5.44304,1.33976e-05,1.3423e-05
-5.43797,1.36004e-05,1.36119e-05
-5.43291,1.38057e-05,1.38032e-05
-5.42785,1.40135e-05,1.39971e-05
-5.42278,1.42237e-05,1.41934e-05
-5.41772,1.44365e-05,1.43924e-05
-5.41266,1.46518e-05,1.4594e-05
-5.40759,1.48698e-05,1.47982e-05
-5.40253,1.50904e-05,1.5005e-05
-5.39747,1.53136e-05,1.52146e-05
-5.39241,1.55396e-05,1.54268e-05
-5.38734,1.57683e-05,1.56419e-05
-5.38228,1.59998e-05,1.58597e-05
-5.37722,1.62341e-05,1.60804e-05
-5.37215,1.64712e-05,1.63039e-05
-5.36709,1.67112e-05,1.65304e-05
-5.36203,1.69542e-05,1.67597e-05
-5.35696,1.72001e-05,1.6992e-05
-5.3519,1.7449e-05,1.72274e-05
-5.34684,1.77009e-05,1.74657e-05
-5.34177,1.79559e-05,1.77072e-05
-5.33671,1.82141e-05,1.79517e-05
-5.33165,1.84754e-05,1.81994e-05
-5.32658,1.87398e-05,1.84502e-05
-5.32152,1.90075e-05,1.87043e-05
-5.31646,1.92785e-05,1.89617e-05
-5.31139,1.95528e-05,1.92223e-05
-5.30633,1.98305e-05,1.94863e-05
-5.30127,2.01115e-05,1.97536e-05
-5.2962,2.0396e-05,2.00244e-05
-5.29114,2.06839e-05,2.02986e-05
-5.28608,2.09754e-05,2.05763e-05
-5.28101,2.12705e-05,2.08575e-05
-5.27595,2.15691e-05,2.11423e-05
-5.27089,2.18714e-05,2.14307e-05
-5.26582,2.21774e-05,2.17228e-05
-5.26076,2.24872e-05,2.20186e-05
-5.2557,2.28007e-05,2.23181e-05
-5.25063,2.31181e-05,2.26214e-05
-5.24557,2.34393e-05,2.29285e-05
-5.24051,2.37645e-05,2.32395e-05
-5.23544,2.40936e-05,2.35544e-05
-5.23038,2.44268e-05,2.38733e-05
-5.22532,2.4764e-05,2.41962e-05
-5.22025,2.51054e-05,2.45231e-05
-5.21519,2.54509e-05,2.48542e-05
-5.21013,2.58006e-05,2.51894e-05
-5.20506,2.61546e-05,2.55288e-05
-5.2,2.65129e-05,2.58724e-05
-5.19494,2.68756e-05,2.62203e-05
-5.18987,2.72427e-05,2.65726e-05
-5.18481,2.76142e-05,2.69292e-05
-5.17975,2.79903e-05,2.72903e-05
-5.17468,2.83709e-05,2.76559e-05
-5.16962,2.87562e-05,2.8026e-05
-5.16456,2.91462e-05,2.84007e-05
-5.15949,2.95408e-05,2.878e-05
-5.15443,2.99403e-05,2.91641e-05
-5.14937,3.03446e-05,2.95528e-05
-5.1443,3.07539e-05,2.99464e-05
-5.13924,3.1168e-05,3.03449e-05
-5.13418,3.15872e-05,3.07482e-05
-5.12911,3.20115e-05,3.11565e-05
-5.12405,3.24408e-05,3.15698e-05
-5.11899,3.28754e-05,3.19883e-05
-5.11392,3.33152e-05,3.24118e-05
-5.10886,3.37603e-05,3.28405e-05
-5.1038,3.42108e-05,3.32745e-05
-5.09873,3.46667e-05,3.37137e-05
-5.09367,3.51281e-05,3.41584e-05
-5.08861,3.55951e-05,3.46084e-05
-5.08354,3.60676e-05,3.5064e-05
-5.07848,3.65458e-05,3.5525e-05
-5.07342,3.70298e-05,3.59917e-05
-5.06835,3.75196e-05,3.64641e-05
-5.06329,3.80152e-05,3.69421e-05
-5.05823,3.85168e-05,3.7426e-05
-5.05316,3.90243e-05,3.79157e-05
-5.0481,3.95379e-05,3.84114e-05
-5.04304,4.00577e-05,3.8913e-05
-5.03797,4.05836e-05,3.94206e-05
-5.03291,4.11158e-05,3.99344e-05
-5.02785,4.16544e-05,4.04544e-05
-5.02278,4.21994e-05,4.09806e-05
-5.01772,4.27508e-05,4.15131e-05
-5.01266,4.33088e-05,4.2052e-05
-5.00759,4.38734e-05,4.25973e-05
-5.00253,4.44447e-05,4.31492e-05
-4.99747,4.50227e-05,4.37076e-05
-4.99241,4.56076e-05,4.42728e-05
-4.98734,4.61994e-05,4.48446e-05
-4.98228,4.67982e-05,4.54233e-05
-4.97722,4.74041e-05,4.60088e-05
-4.97215,4.80171e-05,4.66013e-05
-4.96709,4.86373e-05,4.72008e-05
-4.96203,4.92648e-05,4.78075e-05
-4.95696,4.98996e-05,4.84213e-05
-4.9519,5.0542e-05,4.90423e-05
-4.94684,5.11918e-05,4.96707e-05
-4.94177,5.18493e-05,5.03065e-05
-4.93671,5.25144e-05,5.09498e-05
-4.93165,5.31874e-05,5.16006e-05
-4.92658,5.38682e-05,5.22591e-05
-4.92152,5.45569e-05,5.29253e-05
-4.91646,5.52536e-05,5.35994e-05
-4.91139,5.59585e-05,5.42813e-05
-4.90633,5.66716e-05,5.49712e-05
-4.90127,5.73929e-05,5.56691e-05
-4.8962,5.81226e-05,5.63752e-05
-4.89114,5.88608e-05,5.70895e-05
-4.88608,5.96075e-05,5.78121e-05
-4.88101,6.03629e-05,5.85432e-05
-4.87595,6.1127e-05,5.92827e-05
-4.87089,6.18999e-05,6.00308e-05
-4.86582,6.26817e-05,6.07875e-05
-4.86076,6.34725e-05,6.1553e-05
-4.8557,6.42724e-05,6.23274e-05
-4.85063,6.50815e-05,6.31107e-05
-4.84557,6.58999e-05,6.3903e-05
-4.84051,6.67276e-05,6.47044e-05
-4.83544,6.75649e-05,6.5515e-05
-4.83038,6.84117e-05,6.6335e-05
-4.82532,6.92682e-05,6.71644e-05
-4.82025,7.01344e-05,6.80032e-05
-4.81519,7.10106e-05,6.88517e-05
-4.81013,7.18967e-05,6.97098e-05
