x,U_ML_Thomas,U_exact
-4.99241,6.86818e-395,0
-4.98734,1.78253e-394,0
-4.98228,4.62626e-394,0
-4.97722,1.20066e-393,0
-4.97215,3.11604e-393,0
-4.96709,8.08692e-393,0
-4.96203,2.09875e-392,0
-4.95696,5.44668e-392,0
-4.9519,1.41352e-391,0
-4.94684,3.6683e-391,0
-4.94177,9.51974e-391,0
-4.93671,2.47048e-390,0
-4.93165,6.41111e-390,0
-4.92658,1.66373e-389,0
-4.92152,4.31743e-389,0
-4.91646,1.12038e-388,0
-4.91139,2.90738e-388,0
-4.90633,7.54455e-388,0
-4.90127,1.95777e-387,0
-4.8962,5.08025e-387,0
-4.89114,1.31827e-386,0
-4.88608,3.42074e-386,0
-4.88101,8.87628e-386,0
-4.87595,2.30323e-385,0
-4.87089,5.97642e-385,0
-4.86582,1.55074e-384,0
-4.86076,4.02378e-384,0
-4.8557,1.04406e-383,0
-4.85063,2.70901e-383,0
-4.84557,7.02899e-383,0
-4.84051,1.82377e-382,0
-4.83544,4.732e-382,0
-4.83038,1.22776e-381,0
-4.82532,3.18551e-381,0
-4.82025,8.26495e-381,0
-4.81519,2.14436e-380,0
-4.81013,5.56351e-380,0
-4.80506,1.44344e-379,0
-4.8,3.74491e-379,0
-4.79494,9.71585e-379,0
-4.78987,2.52067e-378,0
-4.78481,6.53954e-378,0
-4.77975,1.69658e-377,0
-4.77468,4.40146e-377,0
-4.76962,1.14186e-376,0
-4.76456,2.96229e-376,0
-4.75949,7.68489e-376,0
-4.75443,1.99362e-375,0
-4.74937,5.17182e-375,0
-4.7443,1.34165e-374,0
-4.73924,3.48042e-374,0
-4.73418,9.02857e-374,0
-4.72911,2.34208e-373,0
-4.72405,6.07548e-373,0
-4.71899,1.576e-372,0
-4.71392,4.08813e-372,0
-4.70886,1.06045e-371,0
-4.7038,2.75075e-371,0
-4.69873,7.13523e-371,0
-4.69367,1.8508e-370,0
-4.68861,4.80073e-370,0
-4.68354,1.24523e-369,0
-4.67848,3.2299e-369,0
-4.67342,8.37767e-369,0
-4.66835,2.17297e-368,0
-4.66329,5.63609e-368,0
-4.65823,1.46183e-367,0
-4.65316,3.79153e-367,0
-4.6481,9.8339e-367,0
-4.64304,2.55054e-366,0
-4.63797,6.61507e-366,0
-4.63291,1.71566e-365,0
-4.62785,4.44965e-365,0
-4.62278,1.15402e-364,0
-4.61772,2.99294e-364,0
-4.61266,7.76206e-364,0
-4.60759,2.01304e-363,0
-4.60253,5.22061e-363,0
-4.59747,1.3539e-362,0
-4.59241,3.51113e-362,0
-4.58734,9.10549e-362,0
-4.58228,2.36132e-361,0
-4.57722,6.12352e-361,0
-4.57215,1.58797e-360,0
-4.56709,4.11794e-360,0
-4.56203,1.06786e-359,0
-4.55696,2.76911e-359,0
-4.5519,7.18064e-359,0
-4.54684,1.86201e-358,0
-4.54177,4.82831e-358,0
-4.53671,1.252e-357,0
-4.53165,3.24644e-357,0
-4.52658,8.41795e-357,0
-4.52152,2.18273e-356,0
-4.51646,5.65965e-356,0
-4.51139,1.46749e-355,0
-4.50633,3.805e-355,0
-4.50127,9.86573e-355,0
-4.4962,2.55799e-354,0
-4.49114,6.6323e-354,0
-4.48608,1.71959e-353,0
-4.48101,4.45841e-353,0
-4.47595,1.15593e-352,0
-4.47089,2.99692e-352,0
-4.46582,7.76992e-352,0
-4.46076,2.01443e-351,0
-4.4557,5.22255e-351,0
-4.45063,1.35397e-350,0
-4.44557,3.51018e-350,0
-4.44051,9.10007e-350,0
-4.43544,2.35915e-349,0
-4.43038,6.11591e-349,0
-4.42532,1.58548e-348,0
-4.42025,4.11015e-348,0
-4.41519,1.06549e-347,0
-4.41013,2.76207e-347,0
-4.40506,7.16003e-347,0
-4.4,1.85605e-346,0
-4.39494,4.81128e-346,0
-4.38987,1.24717e-345,0
-4.38481,3.23285e-345,0
-4.37975,8.37994e-345,0
-4.37468,2.17215e-344,0
-4.36962,5.63035e-344,0
-4.36456,1.4594e-343,0
-4.35949,3.78277e-343,0
-4.35443,9.8048e-343,0
-4.34937,2.54134e-342,0
-4.3443,6.58691e-342,0
