x,U_ML_Thomas,U_exact
-6,0,0
-5.99494,0,0
-5.98987,0,0
-5.98481,0,0
-5.97975,0,0
-5.97468,0,0
-5.96962,0,0
-5.96456,0,0
-5.95949,0,0
-5.95443,0,0
-5.94937,0,0
-5.9443,0,0
-5.93924,0,0
-5.93418,0,0
-5.92911,0,0
-5.92405,0,0
-5.91899,0,0
-5.91392,0,0
-5.90886,0,0
-5.9038,0,0
-5.89873,0,0
-5.89367,0,0
-5.88861,0,0
-5.88354,0,0
-5.87848,0,0
-5.87342,0,0
-5.86835,0,0
-5.86329,0,0
-5.85823,0,0
-5.85316,0,0
-5.8481,0,0
-5.84304,0,0
-5.83797,0,0
-5.83291,0,0
-5.82785,0,0
-5.82278,0,0
-5.81772,0,0
-5.81266,0,0
-5.80759,0,0
-5.80253,0,0
-5.79747,0,0
-5.79241,0,0
-5.78734,0,0
-5.78228,0,0
-5.77722,0,0
-5.77215,0,0
-5.76709,0,0
-5.76203,0,0
-5.75696,0,0
-5.7519,0,0
-5.74684,0,0
-5.74177,0,0
-5.73671,0,0
-5.73165,0,0
-5.72658,0,0
-5.72152,0,0
-5.71646,0,0
-5.71139,0,0
-5.70633,0,0
-5.70127,0,0
-5.6962,0,0
-5.69114,0,0
-5.68608,0,0
-5.68101,0,0
-5.67595,0,0
-5.67089,0,0
-5.66582,0,0
-5.66076,0,0
-5.6557,0,0
-5.65063,0,0
-5.64557,0,0
-5.64051,0,0
-5.63544,0,0
-5.63038,0,0
-5.62532,0,0
-5.62025,0,0
-5.61519,0,0
-5.61013,0,0
-5.60506,0,0
-5.6,0,0
-5.59494,0,0
-5.58987,0,0
-5.58481,0,0
-5.57975,0,0
-5.57468,0,0
-5.56962,0,0
-5.56456,0,0
-5.55949,0,0
-5.55443,0,0
-5.54937,0,0
-5.5443,0,0
-5.53924,0,0
-5.53418,0,0
-5.52911,0,0
-5.52405,0,0
-5.51899,0,0
-5.51392,0,0
-5.50886,0,0
-5.5038,0,0
-5.49873,0,0
-5.49367,0,0
-5.48861,0,0
-5.48354,0,0
-5.47848,0,0
-5.47342,0,0
-5.46835,0,0
-5.46329,0,0
-5.45823,0,0
-5.45316,0,0
-5.4481,0,0
-5.44304,0,0
-5.43797,0,0
-5.43291,0,0
-5.42785,0,0
-5.42278,0,0
-5.41772,0,0
-5.41266,0,0
-5.40759,0,0
-5.40253,0,0
-5.39747,0,0
-5.39241,0,0
-5.38734,0,0
-5.38228,0,0
-5.37722,0,0
-5.37215,0,0
-5.36709,0,0
-5.36203,0,0
-5.35696,0,0
-5.3519,0,0
-5.34684,0,0
-5.34177,0,0
-5.33671,0,0
-5.33165,0,0
-5.32658,0,0
-5.32152,0,0
-5.31646,0,0
-5.31139,0,0
-5.30633,0,0
-5.30127,0,0
-5.2962,0,0
-5.29114,0,0
-5.28608,0,0
-5.28101,0,0
-5.27595,0,0
-5.27089,0,0
-5.26582,0,0
-5.26076,0,0
-5.2557,0,0
-5.25063,0,0
-5.24557,0,0
-5.24051,0,0
-5.23544,0,0
-5.23038,0,0
-5.22532,0,0
-5.22025,0,0
-5.21519,0,0
-5.21013,0,0
-5.20506,0,0
-5.2,0,0
-5.19494,0,0
-5.18987,0,0
-5.18481,0,0
-5.17975,0,0
-5.17468,0,0
-5.16962,0,0
-5.16456,0,0
-5.15949,0,0
-5.15443,0,0
-5.14937,0,0
-5.1443,0,0
-5.13924,0,0
-5.13418,0,0
-5.12911,0,0
-5.12405,0,0
-5.11899,0,0
-5.11392,0,0
-5.10886,0,0
-5.1038,0,0
-5.09873,0,0
-5.09367,0,0
-5.08861,0,0
-5.08354,0,0
