x,U_ML_Thomas,U_exact
-6,0,0
-5.99494,5.10736e-496,0
-5.98987,1.53263e-495,0
-5.98481,4.08839e-495,0
-5.97975,1.07359e-494,0
-5.97468,2.81279e-494,0
-5.96962,7.36708e-494,0
-5.96456,1.92945e-493,0
-5.95949,5.0532e-493,0
-5.95443,1.32343e-492,0
-5.94937,3.46604e-492,0
-5.9443,9.07751e-492,0
-5.93924,2.37739e-491,0
-5.93418,6.22634e-491,0
-5.92911,1.63067e-490,0
-5.92405,4.27071e-490,0
-5.91899,1.11849e-489,0
-5.91392,2.92932e-489,0
-5.90886,7.67185e-489,0
-5.9038,2.00925e-488,0
-5.89873,5.26219e-488,0
-5.89367,1.37816e-487,0
-5.88861,3.60938e-487,0
-5.88354,9.45293e-487,0
-5.87848,2.47571e-486,0
-5.87342,6.48385e-486,0
-5.86835,1.69811e-485,0
-5.86329,4.44733e-485,0
-5.85823,1.16475e-484,0
-5.85316,3.05047e-484,0
-5.8481,7.98914e-484,0
-5.84304,2.09234e-483,0
-5.83797,5.47982e-483,0
-5.83291,1.43516e-482,0
-5.82785,3.75866e-482,0
-5.82278,9.84388e-482,0
-5.81772,2.5781e-481,0
-5.81266,6.75201e-481,0
-5.80759,1.76834e-480,0
-5.80253,4.63127e-480,0
-5.79747,1.21292e-479,0
-5.79241,3.17663e-479,0
-5.78734,8.31955e-479,0
-5.78228,2.17888e-478,0
-5.77722,5.70646e-478,0
-5.77215,1.49451e-477,0
-5.76709,3.91411e-477,0
-5.76203,1.0251e-476,0
-5.75696,2.68473e-476,0
-5.7519,7.03126e-476,0
-5.74684,1.84148e-475,0
-5.74177,4.82281e-475,0
-5.73671,1.26309e-474,0
-5.73165,3.30801e-474,0
-5.72658,8.66363e-474,0
-5.72152,2.26899e-473,0
-5.71646,5.94246e-473,0
-5.71139,1.55632e-472,0
-5.70633,4.07599e-472,0
-5.70127,1.0675e-471,0
-5.6962,2.79576e-471,0
-5.69114,7.32206e-471,0
-5.68608,1.91764e-470,0
-5.68101,5.02227e-470,0
-5.67595,1.31533e-469,0
-5.67089,3.44482e-469,0
-5.66582,9.02194e-469,0
-5.66076,2.36283e-468,0
-5.6557,6.18823e-468,0
-5.65063,1.62069e-467,0
-5.64557,4.24456e-467,0
-5.64051,1.11165e-466,0
-5.63544,2.91139e-466,0
-5.63038,7.62488e-466,0
-5.62532,1.99695e-465,0
-5.62025,5.22998e-465,0
-5.61519,1.36972e-464,0
-5.61013,3.58729e-464,0
-5.60506,9.39507e-464,0
-5.6,2.46056e-463,0
-5.59494,6.44416e-463,0
-5.58987,1.68772e-462,0
-5.58481,4.42011e-462,0
-5.57975,1.15762e-461,0
-5.57468,3.0318e-461,0
-5.56962,7.94023e-461,0
-5.56456,2.07954e-460,0
-5.55949,5.44628e-460,0
-5.55443,1.42637e-459,0
-5.54937,3.73565e-459,0
-5.5443,9.78363e-459,0
-5.53924,2.56232e-458,0
-5.53418,6.71068e-458,0
-5.52911,1.75752e-457,0
-5.52405,4.60292e-457,0
-5.51899,1.2055e-456,0
-5.51392,3.15718e-456,0
-5.50886,8.26862e-456,0
-5.5038,2.16554e-455,0
-5.49873,5.67152e-455,0
-5.49367,1.48536e-454,0
-5.48861,3.89015e-454,0
-5.48354,1.01883e-453,0
-5.47848,2.66829e-453,0
-5.47342,6.98822e-453,0
-5.46835,1.83021e-452,0
-5.46329,4.79328e-452,0
-5.45823,1.25535e-451,0
-5.45316,3.28776e-451,0
-5.4481,8.6106e-451,0
-5.44304,2.2551e-450,0
-5.43797,5.90609e-450,0
-5.43291,1.5468e-449,0
-5.42785,4.05104e-449,0
-5.42278,1.06096e-448,0
-5.41772,2.77865e-448,0
-5.41266,7.27724e-448,0
-5.40759,1.9059e-447,0
-5.40253,4.99152e-447,0
-5.39747,1.30727e-446,0
-5.39241,3.42373e-446,0
-5.38734,8.96671e-446,0
-5.38228,2.34837e-445,0
-5.37722,6.15035e-445,0
-5.37215,1.61077e-444,0
-5.36709,4.21858e-444,0
-5.36203,1.10484e-443,0
-5.35696,2.89356e-443,0
-5.3519,7.57821e-443,0
-5.34684,1.98472e-442,0
-5.34177,5.19796e-442,0
-5.33671,1.36134e-441,0
-5.33165,3.56533e-441,0
-5.32658,9.33756e-441,0
-5.32152,2.44549e-440,0
-5.31646,6.40472e-440,0
-5.31139,1.67739e-439,0
-5.30633,4.39305e-439,0
-5.30127,1.15054e-438,0
-5.2962,3.01324e-438,0
-5.29114,7.89163e-438,0
-5.28608,2.06681e-437,0
-5.28101,5.41294e-437,0
-5.27595,1.41764e-436,0
-5.27089,3.71279e-436,0
-5.26582,9.72374e-436,0
-5.26076,2.54663e-435,0
-5.2557,6.6696e-435,0
-5.25063,1.74676e-434,0
-5.24557,4.57474e-434,0
-5.24051,1.19812e-433,0
-5.23544,3.13786e-433,0
-5.23038,8.21801e-433,0
-5.22532,2.15229e-432,0
-5.22025,5.63681e-432,0
-5.21519,1.47627e-431,0
-5.21013,3.86634e-431,0
-5.20506,1.01259e-430,0
-5.2,2.65196e-430,0
-5.19494,6.94544e-430,0
-5.18987,1.819e-429,0
