x,U_ML_Thomas,U_exact
-6,0,0
-5.99494,4.06064e-317,0
-5.98987,1.09507e-316,0
-5.98481,2.54697e-316,0
-5.97975,5.77278e-316,0
-5.97468,1.30181e-315,0
-5.96962,2.93249e-315,0
-5.96456,6.60379e-315,0
-5.95949,1.48691e-314,0
-5.95443,3.34752e-314,0
-5.94937,7.53548e-314,0
-5.9443,1.69609e-313,0
-5.93924,3.81713e-313,0
-5.93418,8.58965e-313,0
-5.92911,1.93269e-312,0
-5.92405,4.34812e-312,0
-5.91899,9.78112e-312,0
-5.91392,2.20002e-311,0
-5.90886,4.94781e-311,0
-5.9038,1.11263e-310,0
-5.89873,2.5017e-310,0
-5.89367,5.62432e-310,0
-5.88861,1.26431e-309,0
-5.88354,2.84177e-309,0
-5.87848,6.38662e-309,0
-5.87342,1.43517e-308,0
-5.86835,3.22466e-308,0
-5.86329,7.2446e-308,0
-5.85823,1.62739e-307,0
-5.85316,3.65528e-307,0
-5.8481,8.20912e-307,0
-5.84304,1.84341e-306,0
-5.83797,4.13899e-306,0
-5.83291,9.29215e-306,0
-5.82785,2.08587e-305,0
-5.82278,4.68171e-305,0
-5.81772,1.05068e-304,0
-5.81266,2.35769e-304,0
-5.80759,5.28991e-304,0
-5.80253,1.18675e-303,0
-5.79747,2.66206e-303,0
-5.79241,5.97069e-303,0
-5.78734,1.33899e-302,0
-5.78228,3.00248e-302,0
-5.77722,6.73177e-302,0
-5.77215,1.50913e-301,0
-5.76709,3.38275e-301,0
-5.76203,7.58162e-301,0
-5.75696,1.69903e-300,0
-5.7519,3.80703e-300,0
-5.74684,8.52942e-300,0
-5.74177,1.91073e-299,0
-5.73671,4.27983e-299,0
-5.73165,9.58518e-299,0
-5.72658,2.14645e-298,0
-5.72152,4.80604e-298,0
-5.71646,1.07597e-297,0
-5.71139,2.40858e-297,0
-5.70633,5.39098e-297,0
-5.70127,1.20648e-296,0
-5.6962,2.69973e-296,0
-5.69114,6.04039e-296,0
-5.68608,1.35131e-295,0
-5.68101,3.02269e-295,0
-5.67595,6.76047e-295,0
-5.67089,1.51184e-294,0
-5.66582,3.3805e-294,0
-5.66076,7.5579e-294,0
-5.6557,1.68954e-293,0
-5.65063,3.77641e-293,0
-5.64557,8.43987e-293,0
-5.64051,1.88598e-292,0
-5.63544,4.21391e-292,0
-5.63038,9.41408e-292,0
-5.62532,2.10288e-291,0
-5.62025,4.69675e-291,0
-5.61519,1.04888e-290,0
-5.61013,2.34206e-290,0
-5.60506,5.22894e-290,0
-5.6,1.16728e-289,0
-5.59494,2.60544e-289,0
-5.58987,5.81476e-289,0
-5.58481,1.29756e-288,0
-5.57975,2.89511e-288,0
-5.57468,6.45875e-288,0
-5.56962,1.44071e-287,0
-5.56456,3.21327e-287,0
-5.55949,7.16575e-287,0
-5.55443,1.59779e-286,0
-5.54937,3.56224e-286,0
-5.5443,7.94089e-286,0
-5.53924,1.76994e-285,0
-5.53418,3.9445e-285,0
-5.52911,8.78959e-285,0
-5.52405,1.95834e-284,0
-5.51899,4.36266e-284,0
-5.51392,9.71756e-284,0
-5.50886,2.16424e-283,0
-5.5038,4.81946e-283,0
-5.49873,1.07308e-282,0
-5.49367,2.38897e-282,0
-5.48861,5.31778e-282,0
-5.48354,1.18357e-281,0
-5.47848,2.63389e-281,0
-5.47342,5.86064e-281,0
-5.46835,1.30387e-280,0
-5.46329,2.90046e-280,0
-5.45823,6.45119e-280,0
-5.45316,1.43468e-279,0
-5.4481,3.19016e-279,0
-5.44304,7.09271e-279,0
-5.43797,1.57672e-278,0
-5.43291,3.50458e-278,0
-5.42785,7.78861e-278,0
-5.42278,1.73071e-277,0
-5.41772,3.84532e-277,0
-5.41266,8.5424e-277,0
-5.40759,1.89744e-276,0
-5.40253,4.21404e-276,0
-5.39747,9.35772e-276,0
-5.39241,2.07769e-275,0
-5.38734,4.61248e-275,0
-5.38228,1.02383e-274,0
-5.37722,2.27227e-274,0
-5.37215,5.04237e-274,0
