x,U_ML_Thomas,U_exact
-6,0,1.40955e-17
-5.99494,1.89625e-18,1.4963e-17
-5.98987,3.79894e-18,1.58831e-17
-5.98481,5.7145e-18,1.6859e-17
-5.97975,7.64945e-18,1.78939e-17
-5.97468,9.61034e-18,1.89914e-17
-5.96962,1.16038e-17,2.01552e-17
-5.96456,1.36366e-17,2.13892e-17
-5.95949,1.57155e-17,2.26977e-17
-5.95443,1.78477e-17,2.4085e-17
-5.94937,2.00402e-17,2.55558e-17
-5.9443,2.23005e-17,2.71151e-17
-5.93924,2.46362e-17,2.87681e-17
-5.93418,2.7055e-17,3.05204e-17
-5.92911,2.95651e-17,3.23777e-17
-5.92405,3.21749e-17,3.43464e-17
-5.91899,3.4893e-17,3.6433e-17
-5.91392,3.77285e-17,3.86444e-17
-5.90886,4.06909e-17,4.0988e-17
-5.9038,4.37899e-17,4.34716e-17
-5.89873,4.70358e-17,4.61034e-17
-5.89367,5.04393e-17,4.8892e-17
-5.88861,5.40116e-17,5.18467e-17
-5.88354,5.77644e-17,5.49773e-17
-5.87848,6.17101e-17,5.8294e-17
-5.87342,6.58615e-17,6.18077e-17
-5.86835,7.02323e-17,6.55299e-17
-5.86329,7.48366e-17,6.94728e-17
-5.85823,7.96894e-17,7.36493e-17
-5.85316,8.48066e-17,7.8073e-17
-5.8481,9.02046e-17,8.27583e-17
-5.84304,9.59008e-17,8.77203e-17
-5.83797,1.01914e-16,9.29753e-17
-5.83291,1.08263e-16,9.85401e-17
-5.82785,1.14968e-16,1.04433e-16
-5.82278,1.22051e-16,1.10672e-16
-5.81772,1.29535e-16,1.17279e-16
-5.81266,1.37444e-16,1.24274e-16
-5.80759,1.45802e-16,1.31679e-16
-5.80253,1.54636e-16,1.39519e-16
-5.79747,1.63975e-16,1.47818e-16
-5.79241,1.73847e-16,1.56602e-16
-5.78734,1.84285e-16,1.65901e-16
-5.78228,1.95321e-16,1.75743e-16
-5.77722,2.06989e-16,1.8616e-16
-5.77215,2.19328e-16,1.97184e-16
-5.76709,2.32374e-16,2.08851e-16
-5.76203,2.4617e-16,2.21197e-16
-5.75696,2.60758e-16,2.34261e-16
-5.7519,2.76183e-16,2.48084e-16
-5.74684,2.92495e-16,2.6271e-16
-5.74177,3.09743e-16,2.78184e-16
-5.73671,3.27982e-16,2.94555e-16
-5.73165,3.47267e-16,3.11874e-16
-5.72658,3.67658e-16,3.30195e-16
-5.72152,3.89219e-16,3.49575e-16
-5.71646,4.12015e-16,3.70074e-16
-5.71139,4.36117e-16,3.91755e-16
-5.70633,4.61598e-16,4.14686e-16
-5.70127,4.88538e-16,4.38937e-16
-5.6962,5.17017e-16,4.64583e-16
-5.69114,5.47124e-16,4.91703e-16
-5.68608,5.78949e-16,5.2038e-16
-5.68101,6.12591e-16,5.50703e-16
-5.67595,6.48149e-16,5.82763e-16
-5.67089,6.85734e-16,6.16659e-16
-5.66582,7.25457e-16,6.52494e-16
-5.66076,7.6744e-16,6.90377e-16
-5.6557,8.11808e-16,7.30423e-16
-5.65063,8.58695e-16,7.72753e-16
-5.64557,9.08242e-16,8.17496e-16
-5.64051,9.60597e-16,8.64787e-16
-5.63544,1.01592e-15,9.14767e-16
-5.63038,1.07437e-15,9.67588e-16
-5.62532,1.13612e-15,1.02341e-15
-5.62025,1.20136e-15,1.08239e-15
-5.61519,1.27029e-15,1.14472e-15
-5.61013,1.34309e-15,1.21058e-15
-5.60506,1.42001e-15,1.28016e-15
-5.6,1.50124e-15,1.35368e-15
-5.59494,1.58705e-15,1.43135e-15
-5.58987,1.67767e-15,1.51339e-15
-5.58481,1.77339e-15,1.60006e-15
-5.57975,1.87446e-15,1.69161e-15
-5.57468,1.9812e-15,1.78831e-15
-5.56962,2.09392e-15,1.89044e-15
-5.56456,2.21293e-15,1.9983e-15
-5.55949,2.3386e-15,2.11221e-15
-5.55443,2.47128e-15,2.23251e-15
-5.54937,2.61135e-15,2.35954e-15
-5.5443,2.75923e-15,2.49367e-15
-5.53924,2.91533e-15,2.6353e-15
-5.53418,3.08012e-15,2.78483e-15
-5.52911,3.25406e-15,2.9427e-15
-5.52405,3.43765e-15,3.10936e-15
-5.51899,3.63142e-15,3.2853e-15
-5.51392,3.83592e-15,3.47102e-15
-5.50886,4.05174e-15,3.66706e-15
-5.5038,4.27949e-15,3.87398e-15
-5.49873,4.51981e-15,4.09237e-15
-5.49367,4.7734e-15,4.32285e-15
-5.48861,5.04097e-15,4.56609e-15
-5.48354,5.32327e-15,4.82277e-15
-5.47848,5.6211e-15,5.09363e-15
-5.47342,5.9353e-15,5.37944e-15
-5.46835,6.26676e-15,5.681e-15
-5.46329,6.6164e-15,5.99916e-15
-5.45823,6.9852e-15,6.33483e-15
-5.45316,7.37419e-15,6.68894e-15
-5.4481,7.78447e-15,7.0625e-15
-5.44304,8.21716e-15,7.45655e-15
-5.43797,8.67348e-15,7.87219e-15
-5.43291,9.15468e-15,8.31059e-15
-5.42785,9.66211e-15,8.77296e-15
-5.42278,1.01972e-14,9.2606e-15
-5.41772,1.07613e-14,9.77485e-15
-5.41266,1.13561e-14,1.03172e-14
