x,U_ML_Thomas,U_exact
-6,0,0
-5.99494,9.39616e-448,0
-5.98987,2.76978e-447,0
-5.98481,7.22502e-447,0
-5.97975,1.85275e-446,0
-5.97468,4.73879e-446,0
-5.96962,1.21154e-445,0
-5.96456,3.09724e-445,0
-5.95949,7.91769e-445,0
-5.95443,2.02401e-444,0
-5.94937,5.1739e-444,0
-5.9443,1.32256e-443,0
-5.93924,3.38067e-443,0
-5.93418,8.64135e-443,0
-5.92911,2.20878e-442,0
-5.92405,5.64563e-442,0
-5.91899,1.443e-441,0
-5.91392,3.68815e-441,0
-5.90886,9.42634e-441,0
-5.9038,2.40918e-440,0
-5.89873,6.15723e-440,0
-5.89367,1.57359e-439,0
-5.88861,4.02153e-439,0
-5.88354,1.02774e-438,0
-5.87848,2.62641e-438,0
-5.87342,6.71172e-438,0
-5.86835,1.71513e-437,0
-5.86329,4.38278e-437,0
-5.85823,1.11994e-436,0
-5.85316,2.86174e-436,0
-5.8481,7.31234e-436,0
-5.84304,1.86842e-435,0
-5.83797,4.774e-435,0
-5.83291,1.21978e-434,0
-5.82785,3.11653e-434,0
-5.82278,7.96254e-434,0
-5.81772,2.03434e-433,0
-5.81266,5.19739e-433,0
-5.80759,1.32782e-432,0
-5.80253,3.39221e-432,0
-5.79747,8.66597e-432,0
-5.79241,2.21382e-431,0
-5.78734,5.65534e-431,0
-5.78228,1.44466e-430,0
-5.77722,3.69031e-430,0
-5.77215,9.4265e-430,0
-5.76709,2.40785e-429,0
-5.76203,6.15034e-429,0
-5.75696,1.57094e-428,0
-5.7519,4.01245e-428,0
-5.74684,1.02483e-427,0
-5.74177,2.61747e-427,0
-5.73671,6.68505e-427,0
-5.73165,1.70733e-426,0
-5.72658,4.36035e-426,0
-5.72152,1.11356e-425,0
-5.71646,2.8438e-425,0
-5.71139,7.2623e-425,0
-5.70633,1.85456e-424,0
-5.70127,4.73582e-424,0
-5.6962,1.20932e-423,0
-5.69114,3.08801e-423,0
-5.68608,7.88507e-423,0
-5.68101,2.01337e-422,0
-5.67595,5.1408e-422,0
-5.67089,1.31259e-421,0
-5.66582,3.35133e-421,0
-5.66076,8.55649e-421,0
-5.6557,2.18456e-420,0
-5.65063,5.5773e-420,0
-5.64557,1.42388e-419,0
-5.64051,3.63507e-419,0
-5.63544,9.2799e-419,0
-5.63038,2.36899e-418,0
-5.62532,6.04747e-418,0
-5.62025,1.54374e-417,0
-5.61519,3.94062e-417,0
-5.61013,1.00588e-416,0
-5.60506,2.56754e-416,0
-5.6,6.55357e-416,0
-5.59494,1.67274e-415,0
-5.58987,4.26943e-415,0
-5.58481,1.08969e-414,0
-5.57975,2.78114e-414,0
-5.57468,7.09797e-414,0
-5.56962,1.81149e-413,0
-5.56456,4.62303e-413,0
-5.55949,1.1798e-412,0
-5.55443,3.01078e-412,0
-5.54937,7.68316e-412,0
-5.5443,1.96061e-411,0
-5.53924,5.00301e-411,0
-5.53418,1.27662e-410,0
-5.52911,3.25749e-410,0
-5.52405,8.31177e-410,0
-5.51899,2.12077e-409,0
-5.51392,5.41108e-409,0
-5.50886,1.38059e-408,0
-5.5038,3.52235e-408,0
-5.49873,8.98653e-408,0
-5.49367,2.29267e-407,0
-5.48861,5.84898e-407,0
-5.48354,1.49214e-406,0
-5.47848,3.8065e-406,0
-5.47342,9.71033e-406,0
-5.46835,2.47703e-405,0
-5.46329,6.31856e-405,0
-5.45823,1.61174e-404,0
-5.45316,4.11113e-404,0
-5.4481,1.04862e-403,0
-5.44304,2.67462e-403,0
-5.43797,6.82176e-403,0
-5.43291,1.73988e-402,0
-5.42785,4.43746e-402,0
-5.42278,1.13172e-401,0
-5.41772,2.88622e-401,0
-5.41266,7.36058e-401,0
-5.40759,1.87708e-400,0
-5.40253,4.78678e-400,0
-5.39747,1.22066e-399,0
-5.39241,3.11267e-399,0
-5.38734,7.9371e-399,0
-5.38228,2.02386e-398,0
-5.37722,5.16045e-398,0
-5.37215,1.31578e-397,0
-5.36709,3.35482e-397,0
-5.36203,8.55352e-397,0
-5.35696,2.18077e-396,0
-5.3519,5.55984e-396,0
-5.34684,1.41744e-395,0
-5.34177,3.61357e-395,0
-5.33671,9.21208e-395,0
-5.33165,2.34838e-394,0
-5.32658,5.98641e-394,0
-5.32152,1.526e-393,0
-5.31646,3.88984e-393,0
-5.31139,9.91512e-393,0
-5.30633,2.52728e-392,0
-5.30127,6.44165e-392,0
-5.2962,1.64184e-391,0
-5.29114,4.18458e-391,0
-5.28608,1.06651e-390,0
-5.28101,2.71808e-390,0
-5.27595,6.9271e-390,0
-5.27089,1.76534e-389,0
-5.26582,4.49879e-389,0
-5.26076,1.14644e-388,0
-5.2557,2.92142e-388,0
-5.25063,7.44436e-388,0
-5.24557,1.89692e-387,0
-5.24051,4.83347e-387,0
-5.23544,1.23157e-386,0
-5.23038,3.13794e-386,0
-5.22532,7.99506e-386,0
-5.22025,2.03698e-385,0
-5.21519,5.18967e-385,0
-5.21013,1.32215e-384,0
-5.20506,3.36831e-384,0
-5.2,8.58088e-384,0
-5.19494,2.18595e-383,0
-5.18987,5.56847e-383,0
-5.18481,1.41847e-382,0
-5.17975,3.61321e-382,0
-5.17468,9.20355e-382,0
-5.16962,2.34426e-381,0
-5.16456,5.97096e-381,0
-5.15949,1.52079e-380,0
-5.15443,3.87334e-380,0
-5.14937,9.86482e-380,0
-5.1443,2.51236e-379,0
-5.13924,6.39825e-379,0
-5.13418,1.62941e-378,0
-5.12911,4.14941e-378,0
-5.12405,1.05665e-377,0
-5.11899,2.69069e-377,0
-5.11392,6.85149e-377,0
-5.10886,1.74459e-376,0
-5.1038,4.44214e-376,0
-5.09873,1.13104e-375,0
-5.09367,2.87973e-375,0
-5.08861,7.33184e-375,0
-5.08354,1.86665e-374,0
-5.07848,4.75226e-374,0
-5.07342,1.20984e-373,0
-5.06835,3.07992e-373,0
-5.06329,7.84046e-373,0
-5.05823,1.99586e-372,0
-5.05316,5.08052e-372,0
-5.0481,1.29322e-371,0
-5.04304,3.29175e-371,0
-5.03797,8.37853e-371,0
-5.03291,2.13254e-370,0
-5.02785,5.42767e-370,0
-5.02278,1.38139e-369,0
-5.01772,3.51568e-369,0
-5.01266,8.94724e-369,0
-5.00759,2.27697e-368,0
-5.00253,5.79444e-368,0
-4.99747,1.47453e-367,0
-4.99241,3.75219e-367,0
-4.98734,9.54778e-367,0
-4.98228,2.42945e-366,0
-4.97722,6.1816e-366,0
-4.97215,1.57283e-365,0
-4.96709,4.00174e-365,0
-4.96203,1.01813e-364,0
-4.95696,2.59028e-364,0
-4.9519,6.58988e-364,0
-4.94684,1.67647e-363,0
-4.94177,4.26481e-363,0
-4.93671,1.08491e-362,0
-4.93165,2.75976e-362,0
-4.92658,7.02002e-362,0
-4.92152,1.78563e-361,0
-4.91646,4.54186e-361,0
-4.91139,1.15521e-360,0
-4.90633,2.93818e-360,0
-4.90127,7.47275e-360,0
