t,e_max
0,0
2.56003e-05,0.114457
5.12007e-05,0.0423159
7.6801e-05,0.0281651
0.000102401,0.0173039
0.000128002,0.0102962
0.000153602,0.00864203
0.000179202,0.00493747
0.000204803,0.00531061
0.000230403,0.00369793
0.000256003,0.00380842
0.000281604,0.0030859
0.000307204,0.00300636
0.000332804,0.00268087
0.000358405,0.00250975
0.000384005,0.0023803
0.000409605,0.00223504
0.000435206,0.00214191
0.000460806,0.00203266
0.000486406,0.00194599
0.000512007,0.00185802
0.000537607,0.00178162
0.000563207,0.0017082
0.000588808,0.00164185
0.000614408,0.00157932
0.000640008,0.00152175
0.000665609,0.00146779
0.000691209,0.00141764
0.000716809,0.00137063
0.00074241,0.00132668
0.00076801,0.0012854
0.00079361,0.00124664
0.00081921,0.00121014
0.000844811,0.00117575
0.000870411,0.00114327
0.000896011,0.00111258
0.000921612,0.00108352
0.000947212,0.00105597
0.000972812,0.00102983
0.000998413,0.001005
0.00102401,0.000981368
0.00104961,0.000961109
0.00107521,0.000942249
0.00110081,0.000924079
0.00112641,0.000906569
0.00115201,0.000889686
0.00117762,0.000873402
0.00120322,0.000857689
0.00122882,0.00084252
0.00125442,0.000827871
0.00128002,0.000813717
0.00130562,0.000800036
0.00133122,0.000786806
0.00135682,0.000774007
0.00138242,0.00076162
0.00140802,0.000749627
0.00143362,0.00073801
0.00145922,0.000726753
0.00148482,0.00071584
0.00151042,0.000705256
0.00153602,0.000694989
0.00156162,0.000685023
0.00158722,0.000675348
0.00161282,0.00066595
0.00163842,0.000656819
0.00166402,0.000647944
0.00168962,0.000639315
0.00171522,0.000630922
0.00174082,0.000622755
0.00176642,0.000614807
0.00179202,0.000607068
0.00181762,0.000599531
0.00184322,0.000592188
0.00186882,0.000585032
0.00189442,0.000578056
0.00192002,0.000571254
0.00194562,0.000564619
0.00197123,0.000558145
0.00199683,0.000551827
0.00202243,0.00054566
0.00204803,0.000539637
0.00207363,0.000533755
0.00209923,0.000528008
0.00212483,0.000522391
0.00215043,0.000516901
0.00217603,0.000511534
0.00220163,0.000506285
0.00222723,0.00050115
0.00225283,0.000496126
0.00227843,0.00049121
0.00230403,0.000486397
0.00232963,0.000481686
0.00235523,0.000477071
0.00238083,0.000472552
0.00240643,0.000468125
0.00243203,0.000463786
0.00245763,0.000459534
0.00248323,0.000455366
0.00250883,0.000451279
0.00253443,0.000447271
0.00256003,0.000443341
0.00258563,0.000439485
0.00261123,0.000435701
0.00263683,0.000431988
0.00266243,0.000428344
0.00268803,0.000424926
0.00271363,0.000421571
0.00273924,0.000418272
0.00276484,0.000415027
0.00279044,0.000411835
0.00281604,0.000408694
0.00284164,0.000405604
0.00286724,0.000402562
0.00289284,0.000399569
0.00291844,0.000396623
0.00294404,0.000393722
0.00296964,0.000390866
0.00299524,0.000388054
0.00302084,0.000385285
0.00304644,0.000382558
0.00307204,0.000379872
0.00309764,0.000377226
0.00312324,0.000374619
0.00314884,0.00037205
0.00317444,0.000369519
0.00320004,0.000367025
0.00322564,0.000364567
0.00325124,0.000362144
0.00327684,0.000359755
0.00330244,0.0003574
0.00332804,0.000355078
0.00335364,0.000352789
0.00337924,0.000350531
0.00340484,0.000348304
0.00343044,0.000346108
0.00345604,0.000343942
