x,U_KMB,U_exact
-6,0,2.67009e-06
-5.99199,1.29796e-07,2.73578e-06
-5.98399,2.59657e-07,2.80301e-06
-5.97598,3.89646e-07,2.87179e-06
-5.96798,5.19829e-07,2.94216e-06
-5.95997,6.50269e-07,3.01417e-06
-5.95197,7.81032e-07,3.08783e-06
-5.94396,9.12181e-07,3.1632e-06
-5.93596,1.04378e-06,3.2403e-06
-5.92795,1.1759e-06,3.31918e-06
-5.91995,1.3086e-06,3.39987e-06
-5.91194,1.44195e-06,3.4824e-06
-5.90394,1.57601e-06,3.56683e-06
-5.89593,1.71085e-06,3.65319e-06
-5.88793,1.84653e-06,3.74152e-06
-5.87992,1.98313e-06,3.83186e-06
-5.87191,2.1207e-06,3.92425e-06
-5.86391,2.25932e-06,4.01875e-06
-5.8559,2.39905e-06,4.11539e-06
-5.8479,2.53996e-06,4.21422e-06
-5.83989,2.68213e-06,4.31529e-06
-5.83189,2.82561e-06,4.41864e-06
-5.82388,2.97047e-06,4.52432e-06
-5.81588,3.11679e-06,4.63238e-06
-5.80787,3.26464e-06,4.74287e-06
-5.79987,3.41409e-06,4.85583e-06
-5.79186,3.56521e-06,4.97133e-06
-5.78386,3.71806e-06,5.08942e-06
-5.77585,3.87273e-06,5.21014e-06
-5.76785,4.02929e-06,5.33356e-06
-5.75984,4.1878e-06,5.45972e-06
-5.75183,4.34835e-06,5.5887e-06
-5.74383,4.51101e-06,5.72053e-06
-5.73582,4.67586e-06,5.85529e-06
-5.72782,4.84297e-06,5.99303e-06
-5.71981,5.01241e-06,6.13382e-06
-5.71181,5.18428e-06,6.27771e-06
-5.7038,5.35864e-06,6.42477e-06
-5.6958,5.53558e-06,6.57507e-06
-5.68779,5.71517e-06,6.72867e-06
-5.67979,5.89751e-06,6.88564e-06
-5.67178,6.08267e-06,7.04604e-06
-5.66378,6.27073e-06,7.20995e-06
-5.65577,6.46178e-06,7.37744e-06
-5.64777,6.65591e-06,7.54857e-06
-5.63976,6.8532e-06,7.72343e-06
-5.63175,7.05374e-06,7.90209e-06
-5.62375,7.25762e-06,8.08462e-06
-5.61574,7.46493e-06,8.27111e-06
-5.60774,7.67575e-06,8.46163e-06
-5.59973,7.89019e-06,8.65625e-06
-5.59173,8.10834e-06,8.85507e-06
-5.58372,8.33028e-06,9.05817e-06
-5.57572,8.55612e-06,9.26563e-06
-5.56771,8.78595e-06,9.47754e-06
-5.55971,9.01988e-06,9.69399e-06
-5.5517,9.258e-06,9.91506e-06
-5.5437,9.50041e-06,1.01409e-05
-5.53569,9.74721e-06,1.03715e-05
-5.52769,9.99851e-06,1.0607e-05
-5.51968,1.02544e-05,1.08475e-05
-5.51167,1.0515e-05,1.10931e-05
-5.50367,1.07805e-05,1.13439e-05
-5.49566,1.10509e-05,1.16e-05
-5.48766,1.13263e-05,1.18615e-05
-5.47965,1.16068e-05,1.21285e-05
-5.47165,1.18927e-05,1.24011e-05
-5.46364,1.21839e-05,1.26795e-05
-5.45564,1.24806e-05,1.29637e-05
-5.44763,1.2783e-05,1.32538e-05
-5.43963,1.30911e-05,1.355e-05
-5.43162,1.34051e-05,1.38524e-05
-5.42362,1.37251e-05,1.4161e-05
-5.41561,1.40512e-05,1.44761e-05
-5.40761,1.43835e-05,1.47977e-05
-5.3996,1.47222e-05,1.5126e-05
-5.39159,1.50675e-05,1.54611e-05
-5.38359,1.54194e-05,1.58031e-05
-5.37558,1.57781e-05,1.61521e-05
-5.36758,1.61437e-05,1.65083e-05
-5.35957,1.65164e-05,1.68719e-05
-5.35157,1.68963e-05,1.72429e-05
-5.34356,1.72836e-05,1.76214e-05
-5.33556,1.76783e-05,1.80078e-05
-5.32755,1.80808e-05,1.8402e-05
-5.31955,1.8491e-05,1.88042e-05
-5.31154,1.89092e-05,1.92146e-05
-5.30354,1.93355e-05,1.96333e-05
-5.29553,1.97701e-05,2.00606e-05
-5.28753,2.02132e-05,2.04964e-05
-5.27952,2.06648e-05,2.09411e-05
-5.27151,2.11253e-05,2.13947e-05
-5.26351,2.15946e-05,2.18575e-05
-5.2555,2.20731e-05,2.23295e-05
-5.2475,2.25609e-05,2.28111e-05
-5.23949,2.30581e-05,2.33022e-05
-5.23149,2.3565e-05,2.38032e-05
-5.22348,2.40817e-05,2.43142e-05
-5.21548,2.46084e-05,2.48353e-05
-5.20747,2.51454e-05,2.53668e-05
-5.19947,2.56927e-05,2.59089e-05
-5.19146,2.62506e-05,2.64617e-05
-5.18346,2.68193e-05,2.70254e-05
-5.17545,2.7399e-05,2.76002e-05
-5.16744,2.79899e-05,2.81864e-05
-5.15944,2.85921e-05,2.87841e-05
-5.15143,2.9206e-05,2.93935e-05
-5.14343,2.98317e-05,3.00149e-05
-5.13542,3.04694e-05,3.06485e-05
-5.12742,3.11193e-05,3.12944e-05
-5.11941,3.17818e-05,3.19529e-05
-5.11141,3.24569e-05,3.26242e-05
-5.1034,3.31449e-05,3.33086e-05
-5.0954,3.38462e-05,3.40062e-05
-5.08739,3.45608e-05,3.47173e-05
