x,U_KMB,U_exact
-6,0,0
-5.99199,0,0
-5.98399,0,0
-5.97598,0,0
-5.96798,0,0
-5.95997,0,0
-5.95197,0,0
-5.94396,0,0
-5.93596,0,0
-5.92795,0,0
-5.91995,0,0
-5.91194,0,0
-5.90394,0,0
-5.89593,0,0
-5.88793,0,0
-5.87992,0,0
-5.87191,0,0
-5.86391,0,0
-5.8559,0,0
-5.8479,0,0
-5.83989,0,0
-5.83189,0,0
-5.82388,0,0
-5.81588,0,0
-5.80787,0,0
-5.79987,0,0
-5.79186,0,0
-5.78386,0,0
-5.77585,0,0
-5.76785,0,0
-5.75984,0,0
-5.75183,0,0
-5.74383,0,0
-5.73582,0,0
-5.72782,0,0
-5.71981,0,0
-5.71181,0,0
-5.7038,0,0
-5.6958,0,0
-5.68779,0,0
-5.67979,0,0
-5.67178,0,0
-5.66378,0,0
-5.65577,0,0
-5.64777,0,0
-5.63976,0,0
-5.63175,0,0
-5.62375,0,0
-5.61574,0,0
-5.60774,0,0
-5.59973,0,0
-5.59173,0,0
-5.58372,0,0
-5.57572,0,0
-5.56771,0,0
-5.55971,0,0
-5.5517,0,0
-5.5437,0,0
-5.53569,0,0
-5.52769,0,0
-5.51968,0,0
-5.51167,0,0
-5.50367,0,0
-5.49566,0,0
-5.48766,0,0
-5.47965,0,0
-5.47165,0,0
-5.46364,0,0
-5.45564,0,0
-5.44763,0,0
-5.43963,0,0
-5.43162,0,0
-5.42362,0,0
-5.41561,0,0
-5.40761,0,0
-5.3996,0,0
-5.39159,0,0
-5.38359,0,0
-5.37558,0,0
-5.36758,0,0
-5.35957,0,0
-5.35157,0,0
-5.34356,0,0
-5.33556,0,0
-5.32755,0,0
-5.31955,0,0
-5.31154,0,0
-5.30354,0,0
-5.29553,0,0
-5.28753,0,0
-5.27952,0,0
-5.27151,0,0
-5.26351,0,0
-5.2555,0,0
-5.2475,0,0
-5.23949,0,0
-5.23149,0,0
-5.22348,0,0
-5.21548,0,0
-5.20747,0,0
-5.19947,0,0
-5.19146,0,0
-5.18346,0,0
-5.17545,0,0
-5.16744,0,0
-5.15944,0,0
-5.15143,0,0
-5.14343,0,0
-5.13542,0,0
-5.12742,0,0
-5.11941,0,0
-5.11141,0,0
-5.1034,0,0
-5.0954,0,0
-5.08739,0,0
-5.07939,0,0
-5.07138,0,0
-5.06338,0,0
-5.05537,0,0
-5.04736,0,0
-5.03936,0,0
-5.03135,0,0
-5.02335,0,0
-5.01534,0,0
-5.00734,0,0
-4.99933,0,0
-4.99133,0,0
-4.98332,0,0
-4.97532,0,0
-4.96731,0,0
-4.95931,0,0
-4.9513,0,0
-4.9433,0,0
-4.93529,0,0
-4.92728,0,0
-4.91928,0,0
-4.91127,0,0
-4.90327,0,0
-4.89526,0,0
-4.88726,0,0
-4.87925,0,0
-4.87125,0,0
-4.86324,0,0
-4.85524,0,0
-4.84723,0,0
-4.83923,0,0
-4.83122,0,0
-4.82322,0,0
-4.81521,0,0
-4.8072,0,0
-4.7992,0,0
-4.79119,0,0
-4.78319,0,0
-4.77518,0,0
-4.76718,0,0
-4.75917,0,0
-4.75117,0,0
-4.74316,0,0
-4.73516,0,0
-4.72715,0,0
-4.71915,0,0
-4.71114,0,0
-4.70314,0,0
-4.69513,0,0
-4.68712,0,0
-4.67912,0,0
-4.67111,0,0
-4.66311,0,0
-4.6551,0,0
-4.6471,0,0
-4.63909,0,0
-4.63109,0,0
-4.62308,0,0
-4.61508,0,0
-4.60707,0,0
-4.59907,0,0
-4.59106,0,0
-4.58306,0,0
-4.57505,0,0
-4.56704,0,0
-4.55904,0,0
-4.55103,0,0
-4.54303,0,0
-4.53502,0,0
-4.52702,0,0
-4.51901,0,0
-4.51101,0,0
-4.503,0,0
-4.495,0,0
-4.48699,0,0
-4.47899,0,0
-4.47098,0,0
-4.46298,0,0
-4.45497,0,0
-4.44696,0,0
-4.43896,0,0
-4.43095,0,0
-4.42295,0,0
-4.41494,0,0
-4.40694,0,0
-4.39893,0,0
-4.39093,0,0
-4.38292,0,0
-4.37492,0,0
-4.36691,0,0
-4.35891,0,0
-4.3509,0,0
-4.3429,0,0
-4.33489,0,0
-4.32688,0,0
-4.31888,0,0
-4.31087,0,0
-4.30287,0,0
-4.29486,0,0
-4.28686,0,0
-4.27885,0,0
-4.27085,0,0
-4.26284,0,0
-4.25484,0,0
-4.24683,0,0
-4.23883,0,0
-4.23082,0,0
-4.22282,0,0
-4.21481,0,0
-4.2068,0,0
-4.1988,0,0
-4.19079,0,0
-4.18279,0,0
-4.17478,0,0
-4.16678,0,0
-4.15877,0,0
-4.15077,0,0
-4.14276,0,0
-4.13476,0,0
-4.12675,0,0
-4.11875,0,0
-4.11074,0,0
-4.10274,0,0
-4.09473,0,0
-4.08672,0,0
-4.07872,0,0
-4.07071,0,0
-4.06271,0,0
-4.0547,0,0
-4.0467,0,0
-4.03869,0,0
-4.03069,0,0
-4.02268,0,0
-4.01468,0,0
-4.00667,0,0
-3.99867,0,0
-3.99066,0,0
-3.98266,0,0
-3.97465,0,0
-3.96664,0,0
-3.95864,0,0
-3.95063,0,0
-3.94263,0,0
-3.93462,0,0
-3.92662,0,0
-3.91861,0,0
-3.91061,0,0
-3.9026,0,0
-3.8946,0,0
-3.88659,0,0
-3.87859,0,0
-3.87058,0,0
-3.86258,0,0
-3.85457,0,0
-3.84656,0,0
-3.83856,0,0
-3.83055,0,0
-3.82255,0,0
-3.81454,0,0
-3.80654,0,0
-3.79853,0,0
-3.79053,0,0
-3.78252,0,0
-3.77452,0,0
-3.76651,0,0
-3.75851,0,0
-3.7505,0,0
-3.74249,0,0
-3.73449,0,0
-3.72648,0,0
-3.71848,0,0
-3.71047,0,0
-3.70247,0,0
-3.69446,0,3.90005e-292
-3.68646,0,6.99762e-291
-3.67845,0,1.24771e-289
-3.67045,0,2.21087e-288
-3.66244,0,3.8931e-287
-3.65444,0,6.81258e-286
-3.64643,0,1.18471e-284
-3.63843,0,2.04737e-283
-3.63042,0,3.51613e-282
-3.62241,0,6.00092e-281
-3.61441,0,1.01778e-279
-3.6064,0,1.71544e-278
-3.5984,0,2.87329e-277
-3.59039,0,4.78266e-276
-3.58239,0,7.9112e-275
-3.57438,0,1.30047e-273
-3.56638,0,2.12442e-272
-3.55837,0,3.44878e-271
-3.55037,0,5.56385e-270
-3.54236,0,8.92009e-269
-3.53436,0,1.42117e-267
-3.52635,0,2.25014e-266
-3.51835,0,3.54042e-265
-3.51034,0,5.53587e-264
-3.50233,0,8.60201e-263
-3.49433,0,1.32831e-261
-3.48632,0,2.03836e-260
-3.47832,0,3.10849e-259
-3.47031,0,4.71086e-258
-3.46231,0,7.09474e-257
-3.4543,0,1.06183e-255
-3.4463,0,1.57928e-254
-3.43829,0,2.33426e-253
-3.43029,0,3.42864e-252
-3.42228,0,5.00471e-251
-3.41428,0,7.25972e-250
-3.40627,0,1.04652e-248
-3.39827,0,1.49919e-247
-3.39026,0,2.13427e-246
-3.38225,0,3.01945e-245
-3.37425,0,4.24513e-244
-3.36624,0,5.93115e-243
-3.35824,0,8.23513e-242
-3.35023,0,1.13628e-240
-3.34223,0,1.55807e-239
-3.33422,0,2.12311e-238
-3.32622,0,2.87502e-237
-3.31821,0,3.86897e-236
-3.31021,0,5.17408e-235
-3.3022,0,6.87632e-234
-3.2942,0,9.08161e-233
-3.28619,0,1.19194e-231
-3.27819,0,1.55464e-230
-3.27018,0,2.01507e-229
-3.26217,0,2.59559e-228
-3.25417,0,3.32251e-227
-3.24616,0,4.22649e-226
-3.23816,0,5.34292e-225
-3.23015,0,6.71215e-224
-3.22215,0,8.37972e-223
-3.21414,0,1.03964e-221
-3.20614,0,1.2818e-220
-3.19813,0,1.57051e-219
-3.19013,0,1.91226e-218
-3.18212,0,2.31386e-217
-3.17412,0,2.78235e-216
-3.16611,0,3.32485e-215
-3.15811,0,3.94836e-214
-3.1501,0,4.65958e-213
-3.14209,0,5.46463e-212
-3.13409,0,6.36883e-211
-3.12608,0,7.37637e-210
-3.11808,0,8.49007e-209
-3.11007,0,9.711e-208
-3.10207,0,1.10383e-206
-3.09406,0,1.24688e-205
-3.08606,0,1.39969e-204
-3.07805,0,1.56143e-203
-3.07005,0,1.73101e-202
-3.06204,0,1.90705e-201
-3.05404,0,2.08789e-200
-3.04603,0,2.27164e-199
-3.03803,0,2.45616e-198
-3.03002,0,2.63911e-197
-3.02201,0,2.81801e-196
-3.01401,0,2.99029e-195
-3.006,0,3.15333e-194
-2.998,0,3.30453e-193
-2.98999,0,3.44141e-192
-2.98199,0,3.56161e-191
-2.97398,0,3.66304e-190
-2.96598,0,3.74389e-189
-2.95797,0,3.80267e-188
-2.94997,0,3.8383e-187
-2.94196,0,3.85012e-186
-2.93396,0,3.83792e-185
-2.92595,0,3.80191e-184
-2.91795,0,3.74276e-183
-2.90994,0,3.66158e-182
-2.90193,0,3.55983e-181
-2.89393,0,3.43934e-180
-2.88592,0,3.30223e-179
-2.87792,0,3.15082e-178
-2.86991,0,2.98762e-177
-2.86191,0,2.81522e-176
-2.8539,0,2.63624e-175
-2.8459,0,2.45325e-174
-2.83789,0,2.26874e-173
-2.82989,0,2.08503e-172
-2.82188,0,1.90426e-171
-2.81388,0,1.72832e-170
-2.80587,0,1.55886e-169
-2.79787,0,1.39726e-168
-2.78986,0,1.24461e-167
-2.78185,0,1.10172e-166
-2.77385,0,9.69163e-166
-2.76584,0,8.47242e-165
-2.75784,0,7.36044e-164
-2.74983,0,6.35456e-163
-2.74183,0,5.45195e-162
-2.73382,0,4.64841e-161
-2.72582,0,3.93861e-160
-2.71781,0,3.3164e-159
-2.70981,0,2.77508e-158
-2.7018,0,2.30765e-157
-2.6938,0,1.907e-156
-2.68579,0,1.56609e-155
-2.67779,0,1.27811e-154
-2.66978,0,1.03658e-153
-2.66177,0,8.35464e-153
-2.65377,0,6.69169e-152
-2.64576,0,5.32636e-151
-2.63776,0,4.21318e-150
-2.62975,0,3.31189e-149
-2.62175,0,2.58718e-148
-2.61374,0,2.00847e-147
-2.60574,0,1.54949e-146
-2.59773,0,1.18795e-145
-2.58973,0,9.05089e-145
-2.58172,0,6.85286e-144
-2.57372,0,5.1563e-143
-2.56571,0,3.85559e-142
-2.55771,0,2.86503e-141
-2.5497,0,2.1157e-140
-2.54169,0,1.55261e-139
-2.53369,0,1.1323e-138
-2.52568,0,8.20621e-138
-2.51768,0,5.91032e-137
-2.50967,0,4.23024e-136
-2.50167,0,3.00889e-135
-2.49366,0,2.12683e-134
-2.48566,0,1.49398e-133
-2.47765,0,1.04291e-132
-2.46965,0,7.23487e-132
-2.46164,0,4.98772e-131
-2.45364,0,3.41712e-130
-2.44563,0,2.32651e-129
-2.43763,0,1.57411e-128
-2.42962,0,1.0584e-127
-2.42161,0,7.0722e-127
-2.41361,0,4.69618e-126
-2.4056,0,3.09899e-125
-2.3976,0,2.03228e-124
-2.38959,0,1.32444e-123
-2.38159,0,8.57763e-123
-2.37358,0,5.52064e-122
-2.36558,0,3.531e-121
-2.35757,0,2.24436e-120
-2.34957,0,1.41767e-119
-2.34156,0,8.89904e-119
-2.33356,0,5.55135e-118
-2.32555,0,3.44144e-117
-2.31755,0,2.12016e-116
-2.30954,0,1.29803e-115
-2.30153,0,7.89744e-115
-2.29353,0,4.77502e-114
-2.28552,0,2.86914e-113
-2.27752,0,1.71322e-112
-2.26951,0,1.01663e-111
-2.26151,0,5.99516e-111
-2.2535,0,3.51337e-110
-2.2455,0,2.04614e-109
-2.23749,0,1.18422e-108
-2.22949,0,6.81111e-108
-2.22148,0,3.89305e-107
-2.21348,0,2.21131e-106
-2.20547,0,1.24823e-105
-2.19746,0,7.00211e-105
