x,U_KMB,U_exact
-6,0,1.3794e-17
-5.99199,2.52578e-18,1.51606e-17
-5.98399,5.07329e-18,1.66604e-17
-5.97598,7.66441e-18,1.83064e-17
-5.96798,1.03214e-17,2.01124e-17
-5.95997,1.3067e-17,2.20939e-17
-5.95197,1.59248e-17,2.42676e-17
-5.94396,1.89192e-17,2.66518e-17
-5.93596,2.20756e-17,2.92666e-17
-5.92795,2.54208e-17,3.2134e-17
-5.91995,2.89833e-17,3.52779e-17
-5.91194,3.2793e-17,3.87245e-17
-5.90394,3.6882e-17,4.25025e-17
-5.89593,4.12846e-17,4.66434e-17
-5.88793,4.60376e-17,5.11813e-17
-5.87992,5.11807e-17,5.61536e-17
-5.87191,5.67564e-17,6.16014e-17
-5.86391,6.28109e-17,6.75693e-17
-5.8559,6.93943e-17,7.41061e-17
-5.8479,7.65604e-17,8.12651e-17
-5.83989,8.43682e-17,8.91047e-17
-5.83189,9.28813e-17,9.76883e-17
-5.82388,1.02169e-16,1.07085e-16
-5.81588,1.12307e-16,1.17372e-16
-5.80787,1.23377e-16,1.2863e-16
-5.79987,1.35468e-16,1.40951e-16
-5.79186,1.48677e-16,1.54433e-16
-5.78386,1.63111e-16,1.69184e-16
-5.77585,1.78885e-16,1.8532e-16
-5.76785,1.96124e-16,2.02969e-16
-5.75984,2.14965e-16,2.22272e-16
-5.75183,2.35557e-16,2.43381e-16
-5.74383,2.58064e-16,2.6646e-16
-5.73582,2.82662e-16,2.91692e-16
-5.72782,3.09544e-16,3.19274e-16
-5.71981,3.3892e-16,3.4942e-16
-5.71181,3.71021e-16,3.82365e-16
-5.7038,4.06094e-16,4.18364e-16
-5.6958,4.44413e-16,4.57695e-16
-5.68779,4.86274e-16,5.00661e-16
-5.67979,5.32e-16,5.47592e-16
-5.67178,5.81941e-16,5.98848e-16
-5.66378,6.36481e-16,6.5482e-16
-5.65577,6.96037e-16,7.15934e-16
-5.64777,7.61062e-16,7.82655e-16
-5.63976,8.3205e-16,8.55487e-16
-5.63175,9.09539e-16,9.3498e-16
-5.62375,9.94115e-16,1.02173e-15
-5.61574,1.08641e-15,1.11639e-15
-5.60774,1.18713e-15,1.21967e-15
-5.59973,1.29701e-15,1.33234e-15
-5.59173,1.41688e-15,1.45524e-15
-5.58372,1.54764e-15,1.58927e-15
-5.57572,1.69025e-15,1.73544e-15
-5.56771,1.84576e-15,1.89481e-15
-5.55971,2.01533e-15,2.06855e-15
-5.5517,2.20019e-15,2.25795e-15
-5.5437,2.40171e-15,2.46438e-15
-5.53569,2.62136e-15,2.68935e-15
-5.52769,2.86073e-15,2.93449e-15
-5.51968,3.12158e-15,3.20157e-15
-5.51167,3.40577e-15,3.49253e-15
-5.50367,3.71538e-15,3.80946e-15
-5.49566,4.05262e-15,4.15463e-15
-5.48766,4.41992e-15,4.53051e-15
-5.47965,4.8199e-15,4.93978e-15
-5.47165,5.25542e-15,5.38535e-15
-5.46364,5.72957e-15,5.87038e-15
-5.45564,6.24572e-15,6.3983e-15
-5.44763,6.80751e-15,6.97282e-15
-5.43963,7.41891e-15,7.59799e-15
-5.43162,8.0842e-15,8.27817e-15
