x,U_KMB,U_exact
-6,0,2.89475e-155
-5.99199,5.79421e-176,7.40098e-155
-5.98399,2.1852e-175,1.88984e-154
-5.97598,7.64344e-175,4.81968e-154
-5.96798,2.65039e-174,1.22763e-153
-5.95997,9.158e-174,3.12302e-153
-5.95197,3.15463e-173,7.93485e-153
-5.94396,1.08336e-172,2.01354e-152
-5.93596,3.70923e-172,5.10314e-152
-5.92795,1.26614e-171,1.29173e-151
-5.91995,4.30894e-171,3.26562e-151
-5.91194,1.46204e-170,8.24545e-151
-5.90394,4.94594e-170,2.07932e-150
-5.89593,1.6682e-169,5.23702e-150
-5.88793,5.60992e-169,1.31736e-149
-5.87992,1.88097e-168,3.30966e-149
-5.87191,6.28825e-168,8.30458e-149
-5.86391,2.09605e-167,2.08118e-148
-5.8559,6.96635e-167,5.20905e-148
-5.8479,2.30857e-166,1.30216e-147
-5.83989,7.62813e-166,3.25108e-147
-5.83189,2.51326e-165,8.10677e-147
-5.82388,8.25667e-165,2.01895e-146
-5.81588,2.70473e-164,5.02181e-146
-5.80787,8.83485e-164,1.24753e-145
-5.79987,2.87763e-163,3.09528e-145
-5.79186,9.34622e-163,7.67019e-145
-5.78386,3.02695e-162,1.89832e-144
-5.77585,9.77571e-162,4.69233e-144
-5.76785,3.14824e-161,1.15842e-143
-5.75984,1.01104e-160,2.85628e-143
-5.75183,3.23784e-160,7.03383e-143
-5.74383,1.03403e-159,1.72998e-142
-5.73582,3.29307e-159,4.24958e-142
-5.72782,1.04584e-158,1.04258e-141
-5.71981,3.31234e-158,2.55463e-141
-5.71181,1.04618e-157,6.2518e-141
-5.7038,3.29525e-157,1.52806e-140
-5.6958,1.0351e-156,3.73019e-140
-5.68779,3.24261e-156,9.0945e-140
-5.67979,1.01304e-155,2.21454e-139
-5.67178,3.15633e-155,5.38576e-139
-5.66378,9.80768e-155,1.30818e-138
-5.65577,3.03936e-154,3.17354e-138
-5.64777,9.39361e-154,7.68914e-138
-5.63976,2.89549e-153,1.86067e-137
-5.63175,8.90132e-153,4.49694e-137
-5.62375,2.72918e-152,1.08548e-136
-5.61574,8.34566e-152,2.61689e-136
-5.60774,2.54532e-151,6.30094e-136
-5.59973,7.74248e-151,1.51524e-135
-5.59173,2.34898e-150,3.63928e-135
-5.58372,7.10789e-150,8.72986e-135
-5.57572,2.14521e-149,2.09149e-134
-5.56771,6.45758e-149,5.00451e-134
-5.55971,1.93885e-148,1.19598e-133
-5.5517,5.80624e-148,2.85459e-133
-5.5437,1.73431e-147,6.80489e-133
-5.53569,5.16705e-147,1.62015e-132
-5.52769,1.53548e-146,3.85253e-132
-5.51968,4.55134e-146,9.14945e-132
-5.51167,1.34563e-145,2.1702e-131
-5.50367,3.96836e-145,5.14119e-131
-5.49566,1.16733e-144,1.21642e-130
-5.48766,3.42518e-144,2.87449e-130
-5.47965,1.00249e-143,6.78415e-130
-5.47165,2.92673e-143,1.59914e-129
-5.46364,8.52314e-143,3.76475e-129
-5.45564,2.4759e-142,8.852e-129
-5.44763,7.17438e-142,2.07876e-128
-5.43963,2.07376e-141,4.87557e-128
-5.43162,5.97939e-141,1.1421e-127
-5.42362,1.71982e-140,2.67201e-127
-5.41561,4.93449e-140,6.24352e-127
-5.40761,1.41232e-139,1.45706e-126
-5.3996,4.0324e-139,3.39613e-126
-5.39159,1.1485e-138,7.90585e-126
-5.38359,3.2632e-138,1.8381e-125
-5.37558,9.24913e-138,4.26822e-125
-5.36758,2.61521e-137,9.8988e-125
-5.35957,7.37674e-137,2.29285e-124
-5.35157,2.07575e-136,5.30425e-124
-5.34356,5.82699e-136,1.22555e-123
